scaffold,start,end,mid,sites,pi_Meadow,pi_Lake,dxy_Meadow_Lake,Fst_Meadow_Lake,INFO
NC_045541.1,83294436,83294436,83294436,1,0.2289,0.2812,0.2552,-0.0003,PIK3C2A
NC_045541.1,83298427,83298427,83298427,1,0.2289,0.2791,0.254,0.0,PIK3C2A
NC_045541.1,83302247,83302247,83302247,1,0.0971,0.1992,0.1512,0.0078,PIK3C2A
NC_045541.1,83307694,83307694,83307694,1,0.2289,0.2831,0.2563,0.0009,PIK3C2A
NC_045541.1,83307723,83307723,83307723,1,0.227,0.2968,0.2632,0.0035,PIK3C2A
NC_045541.1,83307759,83307759,83307759,1,0.5008,0.5021,0.5005,-0.0009,PIK3C2A
NC_045541.1,83315397,83315397,83315397,1,0.093,0.1902,0.1443,0.0082,PIK3C2A
NC_045541.1,89321298,89321298,89321298,1,0.2505,0.0977,0.1823,0.0265,LOC116513013
NC_045541.1,99319075,99319075,99319075,1,0.0097,0.0275,0.0186,-0.0007,CCND1
NC_045541.1,99319108,99319108,99319108,1,0.0193,0.0543,0.0369,0.0016,CCND1
NC_045541.1,100809271,100809271,100809271,1,0.2014,0.1086,0.1574,0.0065,LOC116514261
NC_045541.1,100814899,100814899,100814899,1,0.1946,0.0865,0.144,0.0104,LOC116514261
NC_045541.1,116316173,116316173,116316173,1,0.1535,0.0717,0.1142,0.0058,LOC116505938
NC_045541.1,128350420,128350420,128350420,1,0.1197,0.3871,0.2911,0.0713,NFKBIA
NC_045541.1,129716214,129716214,129716214,1,0.0649,0.0,0.0333,0.0065,FOXA1
NC_045541.1,129716496,129716496,129716496,1,0.3309,0.4405,0.3977,0.0142,FOXA1
NC_045541.1,131479561,131479561,131479561,1,0.1572,0.0907,0.1249,0.0044,FOS
NC_045541.1,131479700,131479700,131479700,1,0.2322,0.4829,0.428,0.0912,FOS
NC_045541.1,131479724,131479724,131479724,1,0.2303,0.4854,0.4325,0.0907,FOS
NC_045541.1,135296435,135296435,135296435,1,0.1357,0.1612,0.148,-0.0017,TSHR
NC_045541.1,139130470,139130470,139130470,1,0.3215,0.4743,0.4294,0.0405,FOXN3
NC_045541.1,139964556,139964556,139964556,1,0.0476,0.0,0.0243,0.0112,RPS6KA5
NC_045541.1,139973304,139973304,139973304,1,0.0374,0.0,0.0189,-0.0799,RPS6KA5
NC_045541.1,139976933,139976933,139976933,1,0.0476,0.0,0.0243,0.0112,RPS6KA5
NC_045541.1,149009348,149009348,149009348,1,0.384,0.4961,0.527,0.0896,XRCC3
NC_045541.1,149010802,149010802,149010802,1,0.0997,0.0278,0.0649,0.0178,XRCC3
NC_045541.1,154062639,154062639,154062639,1,0.0762,0.0166,0.0471,0.0078,HIF1A
NC_045541.1,154070457,154070457,154070457,1,0.0,0.0962,0.0504,0.0201,HIF1A
NC_045541.1,154070464,154070464,154070464,1,0.4464,0.4499,0.5537,0.1055,HIF1A
NC_045541.1,154070950,154070950,154070950,1,0.0915,0.1159,0.1034,-0.0006,HIF1A
NC_045541.1,165618486,165618486,165618486,1,0.0291,0.0186,0.0238,-0.0016,PIK3R2
NC_045541.1,165620512,165620512,165620512,1,0.4039,0.4303,0.4163,-0.0009,PIK3R2
NC_045541.1,166109368,166109368,166109368,1,0.4852,0.3786,0.4543,0.0239,INSR
NC_045541.1,166112781,166112781,166112781,1,0.4796,0.3702,0.4456,0.0238,INSR
NC_045541.1,166130810,166130810,166130810,1,0.3895,0.4839,0.455,0.021,INSR
NC_045541.1,166166632,166166632,166166632,1,0.0768,0.0802,0.0782,-0.002,INSR
NC_045541.1,166301374,166301374,166301374,1,0.2983,0.3079,0.3019,-0.002,NDUFA11
NC_045541.1,166307375,166307375,166307375,1,0.0,0.036,0.0182,-0.0662,NDUFA11
NC_045541.1,170676166,170676166,170676166,1,0.0207,0.0098,0.0152,-0.0036,MKNK2
NC_045541.1,175082540,175082540,175082540,1,0.3472,0.1768,0.2764,0.027,ATP5F1D
NC_045541.1,175086963,175086963,175086963,1,0.1917,0.0702,0.1354,0.0149,ATP5F1D
NC_045541.1,175086965,175086965,175086965,1,0.4872,0.4643,0.5236,0.0478,ATP5F1D
NC_045541.1,175086971,175086971,175086971,1,0.0,0.0449,0.0227,-0.0879,ATP5F1D
NC_045541.1,175714664,175714664,175714664,1,0.0427,0.1912,0.1237,0.0303,GPX4
NC_045541.1,175717483,175717483,175717483,1,0.2289,0.2665,0.2472,-0.0011,GPX4
NC_045541.1,180397677,180397677,180397677,1,0.4594,0.5008,0.4926,0.0127,SIRT6
NC_045541.1,180403481,180403481,180403481,1,0.075,0.0369,0.0561,0.0032,SIRT6
NC_045541.1,180408490,180408490,180408490,1,0.1485,0.2954,0.2305,0.0356,SIRT6
NC_045541.1,180418071,180418071,180418071,1,0.0775,0.1045,0.0908,-0.0008,SIRT6
NC_045541.1,180418092,180418092,180418092,1,0.085,0.1045,0.0945,-0.0019,SIRT6
NC_045541.1,186466105,186466105,186466105,1,0.3767,0.1498,0.2906,0.0511,GADD45B
NC_045542.1,867595,867595,867595,1,0.2909,0.3375,0.3143,-0.0021,LOC116502538
NC_045542.1,871056,871056,871056,1,0.4349,0.2442,0.3688,0.0391,LOC116502538
NC_045542.1,876428,876428,876428,1,0.1415,0.1282,0.1344,-0.0019,LOC116502538
NC_045542.1,876446,876446,876446,1,0.0,0.0275,0.0139,0.0035,LOC116502538
NC_045542.1,876472,876472,876472,1,0.1835,0.2317,0.2077,0.0003,LOC116502538
NC_045542.1,876481,876481,876481,1,0.034,0.0627,0.0484,0.0028,LOC116502538
NC_045542.1,876503,876503,876503,1,0.2573,0.4287,0.3666,0.0341,LOC116502538
NC_045542.1,876543,876543,876543,1,0.3152,0.2968,0.3049,-0.0015,LOC116502538
NC_045542.1,881476,881476,881476,1,0.0749,0.041,0.058,0.003,LOC116502538
NC_045542.1,881479,881479,881479,1,0.1245,0.3435,0.2563,0.049,LOC116502538
NC_045542.1,888260,888260,888260,1,0.1438,0.0474,0.098,0.0085,LOC116502538
NC_045542.1,888310,888310,888310,1,0.1561,0.0528,0.1073,0.0146,LOC116502538
NC_045542.1,890678,890678,890678,1,0.0396,0.0227,0.0309,0.0197,LOC116502538
NC_045542.1,890679,890679,890679,1,0.1139,0.1212,0.1171,-0.0017,LOC116502538
NC_045542.1,890706,890706,890706,1,0.0663,0.0162,0.0418,0.0061,LOC116502538
NC_045542.1,4190930,4190930,4190930,1,0.0683,0.0,0.0351,-0.0286,CC2D1A
NC_045542.1,4216682,4216682,4216682,1,0.5007,0.3994,0.4865,0.0392,CC2D1A
NC_045542.1,4216751,4216751,4216751,1,0.3857,0.1976,0.3124,0.0381,CC2D1A
NC_045542.1,4218555,4218555,4218555,1,0.502,0.4331,0.5055,0.0395,CC2D1A
NC_045542.1,4218597,4218597,4218597,1,0.0568,0.0895,0.0731,-0.0015,CC2D1A
NC_045542.1,4218669,4218669,4218669,1,0.049,0.0824,0.0657,-0.0001,CC2D1A
NC_045542.1,4218676,4218676,4218676,1,0.049,0.0736,0.0612,-0.0011,CC2D1A
NC_045542.1,4223842,4223842,4223842,1,0.4899,0.4727,0.4808,-0.0006,CC2D1A
NC_045542.1,4223863,4223863,4223863,1,0.4935,0.494,0.4914,-0.0023,CC2D1A
NC_045542.1,4223866,4223866,4223866,1,0.4935,0.494,0.4914,-0.0023,CC2D1A
NC_045542.1,4223930,4223930,4223930,1,0.0,0.1054,0.0556,0.0292,CC2D1A
NC_045542.1,4225236,4225236,4225236,1,0.1188,0.1064,0.1121,-0.0019,CC2D1A
NC_045542.1,4235957,4235957,4235957,1,0.1359,0.1155,0.1252,-0.0009,CC2D1A
NC_045542.1,4236052,4236052,4236052,1,0.024,0.0229,0.0233,-0.0029,CC2D1A
NC_045542.1,4236059,4236059,4236059,1,0.2092,0.1964,0.2013,-0.0019,CC2D1A
NC_045542.1,4238615,4238615,4238615,1,0.1777,0.1778,0.1769,-0.0024,CC2D1A
NC_045542.1,4240437,4240437,4240437,1,0.476,0.4058,0.4494,0.0086,CC2D1A
NC_045542.1,4240463,4240463,4240463,1,0.3216,0.2392,0.2829,0.0044,CC2D1A
NC_045542.1,4243676,4243676,4243676,1,0.0365,0.0442,0.0402,-0.0031,CC2D1A
NC_045542.1,4245209,4245209,4245209,1,0.2431,0.1054,0.1807,0.0187,CC2D1A
NC_045542.1,4245223,4245223,4245223,1,0.2501,0.3032,0.2769,0.0004,CC2D1A
NC_045542.1,4245224,4245224,4245224,1,0.0383,0.0365,0.0372,-0.0023,CC2D1A
NC_045542.1,4245247,4245247,4245247,1,0.084,0.0,0.0437,0.0261,CC2D1A
NC_045542.1,4245251,4245251,4245251,1,0.0476,0.0093,0.0287,0.0052,CC2D1A
NC_045542.1,4245343,4245343,4245343,1,0.0362,0.0085,0.0224,-0.0072,CC2D1A
NC_045542.1,4245353,4245353,4245353,1,0.0383,0.0365,0.0372,-0.0023,CC2D1A
NC_045542.1,4245366,4245366,4245366,1,0.4227,0.3723,0.3988,0.0004,CC2D1A
NC_045542.1,4245373,4245373,4245373,1,0.4227,0.3723,0.3988,0.0004,CC2D1A
NC_045542.1,4245380,4245380,4245380,1,0.4189,0.3701,0.3955,0.0003,CC2D1A
NC_045542.1,4245389,4245389,4245389,1,0.4267,0.3903,0.4083,-0.0002,CC2D1A
NC_045542.1,4245391,4245391,4245391,1,0.0383,0.0365,0.0372,-0.0023,CC2D1A
NC_045542.1,4245398,4245398,4245398,1,0.4108,0.372,0.3912,-0.0002,CC2D1A
NC_045542.1,4245401,4245401,4245401,1,0.0383,0.0365,0.0372,-0.0023,CC2D1A
NC_045542.1,4245403,4245403,4245403,1,0.4267,0.3903,0.4083,-0.0002,CC2D1A
NC_045542.1,4245410,4245410,4245410,1,0.1103,0.0184,0.0664,0.0171,CC2D1A
NC_045542.1,4245411,4245411,4245411,1,0.4267,0.3903,0.4083,-0.0002,CC2D1A
NC_045542.1,4245416,4245416,4245416,1,0.0383,0.0,0.0194,0.0087,CC2D1A
NC_045542.1,4245434,4245434,4245434,1,0.0383,0.0,0.0194,0.0087,CC2D1A
NC_045542.1,4245449,4245449,4245449,1,0.4277,0.3745,0.4028,0.0015,CC2D1A
NC_045542.1,4245463,4245463,4245463,1,0.3405,0.4271,0.3903,0.0095,CC2D1A
NC_045542.1,4245556,4245556,4245556,1,0.084,0.0,0.0437,0.0215,CC2D1A
NC_045542.1,4247831,4247831,4247831,1,0.0383,0.0369,0.0374,-0.0023,CC2D1A
NC_045542.1,4250537,4250537,4250537,1,0.3325,0.439,0.3967,0.0165,CC2D1A
NC_045542.1,4250542,4250542,4250542,1,0.4894,0.502,0.4977,0.0022,CC2D1A
NC_045542.1,7917286,7917286,7917286,1,0.0585,0.0723,0.0651,-0.001,AVPR2
NC_045542.1,9510828,9510828,9510828,1,0.4913,0.3937,0.463,0.0159,ATP6AP1
NC_045542.1,9510844,9510844,9510844,1,0.2353,0.2972,0.2663,0.0073,ATP6AP1
NC_045542.1,22466409,22466409,22466409,1,0.4496,0.4583,0.4521,-0.002,ATP5MC2
NC_045542.1,28184573,28184573,28184573,1,0.0,0.0242,0.0122,0.0001,ATP5F1B
NC_045542.1,28186394,28186394,28186394,1,0.0503,0.2967,0.1964,0.1174,ATP5F1B
NC_045542.1,28299756,28299756,28299756,1,0.139,0.2247,0.1839,0.0061,NR4A1
NC_045542.1,28310789,28310789,28310789,1,0.2727,0.4936,0.4559,0.0911,NR4A1
NC_045542.1,28310855,28310855,28310855,1,0.0,0.0365,0.0185,0.0058,NR4A1
NC_045542.1,28339675,28339675,28339675,1,0.3786,0.5008,0.4802,0.0525,NR4A1
NC_045542.1,28339688,28339688,28339688,1,0.2761,0.031,0.174,0.0033,NR4A1
NC_045542.1,32850398,32850398,32850398,1,0.1199,0.0649,0.0926,-0.0178,LOC116503018
NC_045542.1,35552858,35552858,35552858,1,0.4253,0.4444,0.4337,-0.0013,DNAJC22
NC_045542.1,35552897,35552897,35552897,1,0.0915,0.1715,0.1331,0.0074,DNAJC22
NC_045542.1,42046020,42046020,42046020,1,0.0383,0.0,0.0194,0.0087,SOX9
NC_045542.1,49142071,49142071,49142071,1,0.0481,0.063,0.0553,-0.0013,SIRT7
NC_045542.1,49159756,49159756,49159756,1,0.3933,0.2536,0.336,0.0194,SIRT7
NC_045542.1,49161233,49161233,49161233,1,0.0288,0.0,0.0146,0.0061,SIRT7
NC_045542.1,51221714,51221714,51221714,1,0.1188,0.063,0.0914,0.0032,SPATA20
NC_045542.1,51223907,51223907,51223907,1,0.4984,0.4691,0.5111,0.0276,SPATA20
NC_045542.1,52930044,52930044,52930044,1,0.1582,0.0997,0.1296,0.0004,ATP5PD
NC_045542.1,55144772,55144772,55144772,1,0.3768,0.1045,0.2775,0.0776,FOXJ1
NC_045542.1,62950376,62950376,62950376,1,0.0383,0.063,0.0506,-0.001,PIK3R5
NC_045542.1,62952601,62952601,62952601,1,0.4304,0.4013,0.4151,-0.0007,PIK3R5
NC_045542.1,62952660,62952660,62952660,1,0.0097,0.0717,0.0415,0.0093,PIK3R5
NC_045542.1,62952818,62952818,62952818,1,0.4341,0.3989,0.4163,-0.0002,PIK3R5
NC_045542.1,62997791,62997791,62997791,1,0.075,0.1054,0.0901,-0.001,PIK3R6
NC_045542.1,62997859,62997859,62997859,1,0.489,0.4775,0.4818,-0.0014,PIK3R6
NC_045542.1,67338907,67338907,67338907,1,0.1103,0.0093,0.0624,0.0263,PRDX2
NC_045542.1,76463223,76463223,76463223,1,0.3025,0.2066,0.2581,0.0075,ADRB2
NC_045542.1,82308396,82308396,82308396,1,0.0263,0.0324,0.0292,-0.0006,HSPA4
NC_045542.1,82315837,82315837,82315837,1,0.0476,0.1778,0.1176,0.018,HSPA4
NC_045542.1,86001978,86001978,86001978,1,0.277,0.0795,0.1927,0.0377,CATSPER3
NC_045542.1,91180744,91180744,91180744,1,0.1674,0.0349,0.1062,0.0289,CD74
NC_045542.1,91180816,91180816,91180816,1,0.2886,0.2055,0.2494,0.0046,CD74
NC_045542.1,91180860,91180860,91180860,1,0.1547,0.1616,0.1575,-0.0021,CD74
NC_045542.1,91180878,91180878,91180878,1,0.2868,0.1888,0.2414,0.0072,CD74
NC_045542.1,91180879,91180879,91180879,1,0.2868,0.1902,0.2419,0.0078,CD74
NC_045542.1,91186229,91186229,91186229,1,0.1792,0.1911,0.1842,-0.002,CD74
NC_045542.1,91190675,91190675,91190675,1,0.3927,0.2497,0.3343,0.0225,CD74
NC_045542.1,91190683,91190683,91190683,1,0.2641,0.2317,0.2473,-0.0006,CD74
NC_045542.1,91678187,91678187,91678187,1,0.0568,0.0093,0.0335,0.0075,GPX3
NC_045542.1,91678296,91678296,91678296,1,0.2354,0.3942,0.3311,0.0242,GPX3
NC_045542.1,100194696,100194696,100194696,1,0.4454,0.3548,0.4089,0.0104,GPX1
NC_045542.1,100194944,100194944,100194944,1,0.3959,0.2988,0.3536,0.0077,GPX1
NC_045542.1,100196991,100196991,100196991,1,0.4691,0.502,0.4978,0.0122,GPX1
NC_045542.1,100197012,100197012,100197012,1,0.4644,0.5018,0.4964,0.013,GPX1
NC_045542.1,103732245,103732245,103732245,1,0.0305,0.0,0.0154,-0.0533,RBM15B
NC_045542.1,103733924,103733924,103733924,1,0.203,0.1604,0.1816,-0.0003,RBM15B
NC_045542.1,103734135,103734135,103734135,1,0.101,0.125,0.1127,-0.0008,RBM15B
NC_045542.1,109477904,109477904,109477904,1,0.0938,0.2149,0.159,0.0167,RAF1
NC_045542.1,115920839,115920839,115920839,1,0.3368,0.1683,0.2658,0.019,LOC116503820
NC_045542.1,115920899,115920899,115920899,1,0.1679,0.0145,0.0976,-0.003,LOC116503820
NC_045542.1,115925797,115925797,115925797,1,0.1647,0.1311,0.1476,0.0004,LOC116503820
NC_045542.1,115933737,115933737,115933737,1,0.3835,0.3346,0.3596,0.0002,LOC116503820
NC_045542.1,115933749,115933749,115933749,1,0.164,0.2395,0.2032,0.0041,LOC116503820
NC_045542.1,115941451,115941451,115941451,1,0.4945,0.4832,0.488,-0.0011,LOC116503820
NC_045542.1,122501042,122501042,122501042,1,0.0476,0.0,0.0243,0.0112,VHL
NC_045542.1,160894113,160894113,160894113,1,0.163,0.0268,0.0998,-0.0205,LOC116504544
NC_045542.1,160894115,160894115,160894115,1,0.2286,0.3329,0.2833,0.0161,LOC116504544
NC_045542.1,160894176,160894176,160894176,1,0.1865,0.0907,0.1407,-0.012,LOC116504544
NC_045542.1,160894281,160894281,160894281,1,0.4114,0.3529,0.3829,-0.0039,LOC116504544
NC_045542.1,160894455,160894455,160894455,1,0.2085,0.0649,0.1427,-0.0068,LOC116504544
NC_045542.1,160894512,160894512,160894512,1,0.1561,0.3318,0.2577,0.0603,LOC116504544
NC_045542.1,160894596,160894596,160894596,1,0.446,0.3971,0.4225,-0.0027,LOC116504544
NC_045542.1,160894615,160894615,160894615,1,0.2889,0.3683,0.3312,0.012,LOC116504544
NC_045542.1,160894630,160894630,160894630,1,0.2409,0.1056,0.179,0.0034,LOC116504544
NC_045542.1,160894722,160894722,160894722,1,0.0261,0.0333,0.0296,0.0037,LOC116504544
NC_045542.1,160894743,160894743,160894743,1,0.2123,nan,nan,nan,LOC116504544
NC_045542.1,160894791,160894791,160894791,1,0.3598,0.1502,0.2763,0.0324,LOC116504544
NC_045542.1,160894885,160894885,160894885,1,0.4873,0.4319,0.4655,0.0004,LOC116504544
NC_045542.1,160894944,160894944,160894944,1,0.2991,0.3473,0.3223,0.0037,LOC116504544
NC_045542.1,160895001,160895001,160895001,1,0.4336,0.3168,0.3857,0.0075,LOC116504544
NC_045542.1,160895073,160895073,160895073,1,0.496,0.4154,0.4723,0.0133,LOC116504544
NC_045542.1,160895197,160895197,160895197,1,0.4719,0.4908,0.5203,0.0401,LOC116504544
NC_045542.1,160895202,160895202,160895202,1,0.4349,0.2278,0.362,0.0437,LOC116504544
NC_045542.1,160895298,160895298,160895298,1,0.3738,0.4261,0.3999,0.0016,LOC116504544
NC_045542.1,160895320,160895320,160895320,1,0.2951,0.3344,0.3133,0.0011,LOC116504544
NC_045542.1,160895336,160895336,160895336,1,0.0861,0.0284,0.0577,-0.0419,LOC116504544
NC_045542.1,160895341,160895341,160895341,1,0.4789,0.4293,0.4565,-0.0016,LOC116504544
NC_045542.1,160895370,160895370,160895370,1,nan,nan,nan,nan,LOC116504544
NC_045542.1,160895496,160895496,160895496,1,0.3824,0.3942,0.3855,-0.0024,LOC116504544
NC_045542.1,160895513,160895513,160895513,1,0.3783,0.3668,0.3697,-0.0049,LOC116504544
NC_045542.1,160895515,160895515,160895515,1,0.3268,0.3392,0.3305,-0.0026,LOC116504544
NC_045542.1,160895526,160895526,160895526,1,0.343,0.3552,0.3464,-0.0019,LOC116504544
NC_045542.1,160895532,160895532,160895532,1,0.31,0.3516,0.3295,0.0028,LOC116504544
NC_045542.1,160912658,160912658,160912658,1,0.0891,0.1434,0.1161,-0.011,LOC116504544
NC_045542.1,160912662,160912662,160912662,1,0.1942,0.2529,0.2226,-0.0084,LOC116504544
NC_045542.1,160912671,160912671,160912671,1,0.2935,0.1224,0.2184,0.0234,LOC116504544
NC_045542.1,160912704,160912704,160912704,1,nan,nan,nan,nan,LOC116504544
NC_045542.1,160912722,160912722,160912722,1,0.2129,0.1936,0.2011,-0.002,LOC116504544
NC_045542.1,160912896,160912896,160912896,1,0.1696,0.2235,0.1961,0.0058,LOC116504544
NC_045542.1,160912912,160912912,160912912,1,nan,nan,nan,nan,LOC116504544
NC_045542.1,160912995,160912995,160912995,1,0.2013,0.2238,0.2108,-0.0005,LOC116504544
NC_045542.1,160913045,160913045,160913045,1,0.2493,0.3493,0.303,0.02,LOC116504544
NC_045542.1,160913053,160913053,160913053,1,0.297,0.378,0.3396,0.0113,LOC116504544
NC_045542.1,169615519,169615519,169615519,1,0.4706,0.4936,0.472,-0.0087,LOC116503390
NC_045542.1,169615580,169615580,169615580,1,0.4487,0.4045,0.4218,-0.009,LOC116503390
NC_045542.1,169616422,169616422,169616422,1,0.4163,0.4329,0.4211,-0.005,LOC116503390
NC_045542.1,169616475,169616475,169616475,1,0.0381,0.099,0.069,0.016,LOC116503390
NC_045542.1,169616479,169616479,169616479,1,0.0891,0.0164,0.0537,-0.0162,LOC116503390
