NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	21	-0.5468461	-1.5747305	0.02832244	0.07699715	0.586	2671	tags=52%, list=25%, signal=70%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	Details ...	27	-0.50787795	-1.5679414	0.02494331	0.07474941	0.612	1535	tags=33%, list=14%, signal=39%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	37	-0.46357414	-1.5368023	0.031100478	0.0897364	0.718	2240	tags=41%, list=21%, signal=51%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	Details ...	28	-0.4927297	-1.533765	0.03309693	0.08455461	0.723	2240	tags=43%, list=21%, signal=54%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	Details ...	26	-0.49913922	-1.5252267	0.03827751	0.08328361	0.748	1031	tags=31%, list=10%, signal=34%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	Details ...	22	-0.50559604	-1.519691	0.027210884	0.081749156	0.756	2687	tags=50%, list=25%, signal=67%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM	Details ...	25	-0.50720435	-1.5167753	0.038647342	0.07847579	0.768	2061	tags=36%, list=19%, signal=45%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	21	-0.51150894	-1.5071664	0.032863848	0.080688015	0.798	1561	tags=33%, list=15%, signal=39%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	-0.49245086	-1.48456	0.04028436	0.09065255	0.85	2295	tags=48%, list=22%, signal=61%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	54	-0.4039938	-1.4651678	0.016908212	0.09840055	0.885	1671	tags=30%, list=16%, signal=35%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		17	-0.51363194	-1.4247528	0.06866953	0.12523253	0.941	1031	tags=35%, list=10%, signal=39%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		17	-0.50326747	-1.3967476	0.10964912	0.14394036	0.966	2651	tags=47%, list=25%, signal=63%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		23	-0.45447785	-1.360582	0.09456265	0.17240144	0.99	2748	tags=48%, list=26%, signal=64%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		31	-0.42191437	-1.3593514	0.09859155	0.16671295	0.99	2770	tags=45%, list=26%, signal=61%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		82	-0.34929287	-1.356525	0.061007958	0.16259675	0.99	2651	tags=44%, list=25%, signal=58%	
KEGG_PEROXISOME	KEGG_PEROXISOME		66	-0.36978194	-1.3521738	0.04859335	0.16046628	0.991	2519	tags=41%, list=24%, signal=53%	
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM		15	-0.4924639	-1.2930405	0.13544019	0.2209836	0.998	2061	tags=53%, list=19%, signal=66%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		21	-0.43522507	-1.281683	0.13539192	0.22707076	0.998	572	tags=19%, list=5%, signal=20%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		23	-0.43030912	-1.2730998	0.14449541	0.23058324	0.998	2439	tags=39%, list=23%, signal=51%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		39	-0.37577486	-1.2540929	0.1372093	0.24725501	0.999	1338	tags=31%, list=13%, signal=35%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		22	-0.41327456	-1.1941895	0.22196797	0.33311704	1.0	1142	tags=27%, list=11%, signal=31%	
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS		15	-0.44826958	-1.1860555	0.22196797	0.33640587	1.0	737	tags=20%, list=7%, signal=21%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		24	-0.35281098	-1.0719905	0.3271028	0.5672456	1.0	831	tags=17%, list=8%, signal=18%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		39	-0.30387616	-1.040443	0.37556562	0.63444525	1.0	1054	tags=21%, list=10%, signal=23%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		17	-0.36551267	-1.0221751	0.43026003	0.6663222	1.0	502	tags=12%, list=5%, signal=12%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		18	-0.36786997	-1.0155344	0.4365256	0.6668907	1.0	1561	tags=28%, list=15%, signal=33%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		18	-0.36340842	-1.0082872	0.4356659	0.6683882	1.0	3125	tags=44%, list=29%, signal=63%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		16	-0.36650762	-0.9868968	0.47939262	0.7100903	1.0	2503	tags=50%, list=24%, signal=65%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		32	-0.30143186	-0.9783169	0.4701835	0.71468186	1.0	1098	tags=25%, list=10%, signal=28%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		126	-0.2279886	-0.94778097	0.61846155	0.78226274	1.0	1725	tags=23%, list=16%, signal=27%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION		19	-0.3288277	-0.9278138	0.5856481	0.8192766	1.0	2504	tags=37%, list=24%, signal=48%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		55	-0.2431525	-0.8729726	0.725	0.94664186	1.0	1488	tags=22%, list=14%, signal=25%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		19	-0.30843464	-0.8727673	0.6452381	0.9251647	1.0	1772	tags=37%, list=17%, signal=44%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		32	-0.27016205	-0.87188995	0.7050691	0.90599996	1.0	3998	tags=56%, list=38%, signal=90%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		30	-0.27965966	-0.8684115	0.6843318	0.8942695	1.0	2059	tags=27%, list=19%, signal=33%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		39	-0.25306332	-0.84627473	0.7016317	0.9247964	1.0	1715	tags=21%, list=16%, signal=24%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		108	-0.21053603	-0.84275496	0.833795	0.91245705	1.0	2778	tags=31%, list=26%, signal=41%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		30	-0.26880082	-0.83717525	0.7288136	0.9044111	1.0	1602	tags=20%, list=15%, signal=23%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		25	-0.26430365	-0.80436146	0.75233644	0.95000684	1.0	1795	tags=16%, list=17%, signal=19%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS		38	-0.23735003	-0.8006458	0.8292079	0.9378514	1.0	1792	tags=24%, list=17%, signal=28%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM		21	-0.26171434	-0.7559053	0.835141	0.9879088	1.0	3173	tags=43%, list=30%, signal=61%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		47	-0.21998818	-0.75468105	0.88461536	0.9705819	1.0	2315	tags=26%, list=22%, signal=33%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		26	-0.24478267	-0.7455695	0.8599034	0.96377915	1.0	1972	tags=27%, list=19%, signal=33%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		50	-0.19624223	-0.68443257	0.9692308	1.0	1.0	2315	tags=24%, list=22%, signal=31%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS		85	-0.16627058	-0.6515717	0.989899	1.0	1.0	2798	tags=28%, list=26%, signal=38%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		20	-0.21323536	-0.6126838	0.9468599	0.9985812	1.0	1602	tags=20%, list=15%, signal=24%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		17	-0.17968823	-0.49368817	0.99571735	0.99733514	1.0	8701	tags=100%, list=82%, signal=557%	
