Gene	C_L_HS37	C_L_HS38	H_L_HS46	C_M_HS61	C_M_HS62	H_L_HS64	H_L_HS65	H_M_HS66	H_M_HS67	C_M_HS87	C_L_HS90	H_M_HS93
ING2	114	34	40	33	6	43	18	35	3	0	19	30
ING5	622	276	184	222	82	245	84	213	88	50	113	191
ING4	134	58	28	33	5	54	51	21	18	5	29	36
LOC116505929	0	0	0	0	0	0	0	0	0	0	0	0
DIS3L	584	111	53	41	18	117	95	31	25	19	39	68
LOC116506067	162	70	78	66	0	76	45	54	37	0	41	38
MFSD13A	176	113	101	74	20	113	52	57	36	41	92	68
LOC116514469	0	1	0	0	0	0	1	0	0	0	1	0
GPR149	0	0	0	0	0	0	0	0	0	0	0	0
EPN1	1516	317	315	218	111	355	293	199	220	95	163	161
EPN2	2556	388	453	377	182	477	380	259	434	181	184	204
EPN3	8	24	14	52	13	16	0	27	5	0	6	18
RFX5	367	51	68	48	30	97	72	38	115	18	45	30
RFX4	0	0	0	0	0	0	0	0	0	0	0	0
RFX7	2612	295	361	339	168	385	126	168	525	48	224	98
LOC116504379	130	44	33	38	10	77	32	42	31	22	30	35
COMMD2	81	43	19	31	13	25	28	17	5	6	29	24
LOC116515994	4	3	0	4	0	3	0	2	0	0	0	0
GPR143	4	0	2	2	0	0	0	0	0	0	5	7
LOC116504375	300	128	81	118	65	90	85	75	25	82	112	104
LOC116504372	422	129	72	119	43	150	220	116	127	62	92	137
LOC116504370	84	32	31	24	5	22	6	17	0	3	24	11
GPR146	594	140	213	89	38	176	118	137	323	73	100	75
LOC116505316	108	37	34	43	17	41	7	0	0	0	16	14
CHMP1B	459	157	151	90	55	136	82	74	42	55	87	95
TSSC4	639	249	118	211	69	171	47	115	172	10	14	12
MBP	31	17	16	13	9	15	13	12	32	0	13	21
CHMP1A	1625	258	226	225	123	379	193	146	215	113	184	118
TNFRSF12A	5	6	120	0	0	43	30	13	104	0	0	0
KCNH3	3	0	3	2	7	0	0	0	51	0	0	0
FRMPD1	0	0	0	0	0	5	0	3	0	0	4	0
LOC116518690	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504159	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519378	2	0	0	0	0	0	0	0	0	0	0	0
RFX6	0	0	0	0	0	5	0	0	0	0	0	0
LOC116514462	0	1	0	0	1	1	1	0	1	1	1	0
PROK2	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519376	19	12	7	0	0	4	0	0	6	0	5	10
PROK1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519370	130	7	21	30	5	10	6	12	0	16	12	10
FBXO33	489	263	269	101	29	229	145	184	54	112	116	208
SULT6B1	0	0	0	0	0	0	0	0	0	0	0	0
GRIK2	0	0	0	0	0	0	0	0	0	0	0	0
HGD	15425	7319	5526	11365	2485	6730	6323	7285	2982	3980	9019	6820
RPS3A	14622	5105	3974	5268	1876	6094	6129	4379	6246	3176	5110	5356
LOC116521968	0	0	4	0	0	0	0	0	12	5	0	0
LOC116505685	638	218	249	164	44	320	109	202	140	83	190	137
MAGI1	1141	381	453	294	88	389	213	426	208	116	338	245
LOC116506944	4	7	0	5	0	0	0	0	0	0	0	0
LOC116505686	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505681	0	0	11	0	0	3	7	0	0	0	0	0
HTR6	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521709	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521961	3	0	15	0	62	12	19	0	41	0	0	0
EIF2AK2	324	79	81	64	17	136	45	74	5	5	52	44
EIF2AK3	296	122	136	119	30	131	63	114	49	10	138	99
CKS1B	794	572	221	380	97	388	192	191	163	165	189	174
EIF2AK1	502	162	137	119	61	221	132	108	110	59	121	135
CHM	924	301	190	235	109	311	329	156	324	99	243	173
HGS	2658	624	559	501	190	593	640	382	796	424	524	491
HLCS	154	51	67	39	10	49	9	26	4	0	41	29
RIF1	439	178	159	160	45	177	103	157	43	65	169	184
LOC116522594	0	0	0	0	0	0	0	0	0	0	0	0
LOC116514464	1	1	0	1	1	1	1	1	1	1	1	1
LOC116522592	0	0	0	0	0	0	0	1	0	0	0	0
LOC116522590	1	0	0	0	0	0	0	1	0	0	1	0
LOC116522591	2	2	0	0	0	1	1	0	0	0	0	1
LOC116514636	0	0	0	0	0	0	0	0	0	0	0	0
LOC116514634	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504483	6	4	0	6	1	1	0	0	18	0	0	2
LOC116504484	848	531	57	290	128	222	179	285	165	170	206	300
LOC116514633	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504487	0	0	0	0	0	0	0	0	0	0	0	0
AJM1	9	0	0	0	0	0	0	0	0	0	0	0
LOC116519224	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513662	11	5	13	3	0	17	13	0	0	0	0	0
BORCS7	41	6	22	13	3	3	7	0	0	0	8	8
L3MBTL2	43	10	22	17	3	3	10	6	19	0	16	18
LOC116510179	282	90	70	101	33	109	144	0	114	71	60	96
LOC116521514	668	227	155	220	37	259	173	121	164	51	144	162
LOC116520555	33	5	20	16	4	154	54	2	10	0	6	3
TRNAC-GCA-11	0	0	0	0	0	0	0	0	0	0	0	0
BORCS5	118	27	42	22	9	48	35	30	22	12	29	14
ZGRF1	2	5	3	3	0	2	0	2	0	0	1	3
LOC116515406	0	0	0	0	0	0	0	0	0	0	0	0
AMDHD2	260	70	73	75	26	85	57	67	66	25	66	59
LOC116519958	38	52	44	42	7	54	60	52	9	0	36	41
LOC116515905	20	6	4	3	2	24	2	0	0	0	0	0
LOC116520557	20	0	0	0	0	0	0	0	0	0	0	0
CCZ1	848	432	214	202	152	325	261	153	267	90	382	241
KCNH6	4	0	3	3	0	8	4	7	0	0	0	4
FAM102B	27	44	91	30	3	42	65	25	40	0	8	25
LOC116520550	33	10	87	8	0	302	54	3	6	0	7	6
BTAF1	972	365	294	326	75	270	221	306	132	35	176	278
SMC3	804	290	238	248	83	283	116	227	111	52	269	201
CNIH4	747	402	320	268	84	311	128	232	140	139	170	157
GLUL	4446	1452	8299	4564	676	2175	2653	5658	4029	1599	3762	5336
LOC116505353	0	0	0	0	0	0	0	3	0	0	4	0
LOC116505420	14	0	7	6	0	13	0	3	0	0	0	0
GSTA1	10796	6045	6788	4190	4073	6042	4167	8002	1180	3916	3830	6323
LOC116505422	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505357	5	0	0	0	0	3	0	0	0	0	2	0
PRRC2C	822	279	345	196	49	305	211	297	197	111	277	249
MAP6D1	3	0	6	4	0	4	3	3	0	0	0	0
PRRC2A	2821	387	536	392	211	545	374	334	556	176	276	277
LOC116513362	1249	121	204	145	121	143	166	110	186	49	80	57
LOC116513365	74	13	23	23	7	54	16	22	3	8	0	16
LOC116513364	161	74	86	75	26	123	65	71	35	60	49	97
RAD51AP1	212	64	51	55	17	74	65	39	63	21	54	45
LSM12	834	221	215	142	83	253	165	123	184	42	135	171
MAGIX	468	153	373	168	42	50	193	185	422	53	109	237
SLC17A7	63	0	0	0	3	6	0	0	0	0	0	7
SARM1	84	6	18	14	17	18	8	38	19	0	33	17
LMNTD2	0	0	0	0	0	0	0	0	0	0	0	0
C3H5orf51	145	70	85	62	22	65	21	33	33	0	48	27
SLC17A6	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518534	3	0	0	0	0	0	0	0	0	0	0	0
LOC116518025	0	2	0	0	0	0	0	0	0	0	0	0
LOC116518024	10	0	0	0	0	4	4	0	0	0	0	0
BBS7	38	5	0	5	0	0	0	0	0	0	27	6
LOC116518530	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518021	0	0	0	2	0	3	0	0	0	0	0	2
LOC116518020	2282	689	505	506	234	612	695	463	907	303	418	568
LOC116506217	0	10	0	0	0	0	0	0	0	0	0	0
METAP1D	42	5	13	22	0	12	23	23	8	0	27	18
BLMH	1033	140	166	107	85	185	205	110	278	88	137	140
LOC116508074	0	0	0	0	0	0	0	0	0	0	0	0
PHACTR4	1007	183	174	127	57	224	127	132	191	39	114	175
LOC116522780	0	0	0	0	0	0	0	0	0	0	0	0
PHACTR2	348	128	126	101	21	148	67	126	78	76	136	103
PHACTR3	0	0	0	0	0	0	0	0	0	0	0	0
PHACTR1	0	0	0	0	0	0	0	0	0	0	0	0
LSM3	34	0	0	0	0	0	0	0	0	0	0	5
LOC116509115	0	0	0	0	0	6	3	0	0	0	0	4
ALG14	74	42	21	45	10	31	27	17	41	15	56	18
ALG13	86	16	10	16	10	23	18	9	23	0	14	16
ALG12	158	71	90	114	33	104	69	77	33	28	56	104
ALG11	146	102	51	95	31	92	54	45	48	54	53	47
POU2F2	7	2	0	0	0	2	0	0	0	0	0	0
ALDH6A1	4323	1918	1434	1521	605	2649	1043	2534	891	806	2299	1618
ZNF341	82	18	12	21	0	15	14	8	0	4	10	18
COL26A1	0	0	0	0	0	6	4	0	0	0	28	0
LOC116504252	1182	255	286	208	91	152	208	192	385	82	134	111
MGLL	424	124	40	24	19	135	51	85	7	45	42	27
PRDM8	0	0	0	0	0	0	0	0	0	0	0	0
LOC116503400	16	6	9	7	0	30	4	6	0	0	0	0
PYGO2	362	56	81	58	24	76	65	26	71	31	21	27
LOC116515405	695	133	44	70	205	158	313	330	180	132	148	169
CLN5	499	201	141	136	64	165	154	90	97	19	120	158
LOC116513501	0	0	2	2	0	0	4	2	0	0	2	0
MAGOH	179	45	38	19	15	50	24	27	0	52	30	34
LOC116503900	1412	558	529	496	157	632	619	492	784	265	338	453
ANKRD9	937	167	300	229	64	85	132	164	15	51	448	71
LOC116522046	1	27	24	30	0	0	1	9	0	0	26	1
LOC116522047	52	2	2	3	0	3	0	0	0	0	2	0
BRK1	1959	491	515	730	217	674	513	383	738	455	165	553
LOC116522415	27474	8786	6544	2945	8991	12488	8699	14231	6216	5122	11171	3158
LOC116522738	0	0	0	0	0	0	0	0	0	0	0	0
BARX1	0	0	0	0	0	0	3	0	0	0	0	0
LOC116514996	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507011	9	2	0	2	0	0	0	0	0	0	0	0
LOC116508076	11	6	2	0	0	6	0	4	0	0	0	0
LOC116506714	0	0	0	0	0	0	0	0	0	0	0	0
MMGT1	1804	850	684	721	198	762	650	377	444	312	566	624
ZIC2	0	0	0	0	0	0	0	0	0	0	0	0
SLC17A8	0	0	0	0	0	3	0	0	0	0	0	0
LSM5	98	30	15	8	9	26	4	21	0	0	13	9
ZIC1	0	0	0	0	0	0	0	0	0	0	0	0
FAM162A	104	34	38	29	23	34	36	38	9	0	23	30
LOC116504801	17	42	17	29	4	15	8	14	18	0	17	27
LOC116508139	8	0	0	0	0	0	0	0	0	0	0	0
LOC116512369	11	7	4	5	0	9	0	3	0	0	2	0
ACAD9	294	179	137	160	57	123	105	181	0	35	126	126
FBLN5	27	11	64	0	0	21	42	17	26	0	18	6
ARRDC5	0	0	0	0	0	0	0	0	0	0	0	0
ECI1	3876	474	597	517	409	648	675	251	737	224	391	296
ACAD8	698	133	116	141	37	132	106	46	47	16	129	34
OTULIN	332	112	71	86	34	115	68	54	32	10	80	59
CCK	0	0	0	0	0	0	0	0	0	0	0	0
SKA1	5	0	0	0	0	7	0	0	0	0	0	0
BFSP1	0	0	0	0	0	0	0	0	0	0	0	0
XCR1	2	2	4	0	0	4	0	1	0	0	0	0
BFSP2	0	0	0	0	0	0	0	0	0	0	2	0
LOC116509989	1763	1656	1728	815	227	2145	1424	2148	1361	496	581	736
ZIC5	0	0	0	0	0	0	0	0	0	0	0	0
PDGFD	0	3	8	0	0	15	0	0	3	0	4	3
PDGFC	25	9	32	4	0	17	12	14	22	7	8	9
PDGFB	48	20	79	30	6	90	14	36	28	6	16	11
LOC116517621	94	0	0	13	0	5	5	0	0	0	4	0
LOC116519130	0	2	15	0	0	5	0	7	0	0	4	5
LOC116517623	65	21	37	12	6	31	26	25	34	1	11	14
FAIM	66	18	36	17	3	22	12	18	13	28	11	7
SRGN	38	11	25	4	3	62	13	16	0	0	5	8
PLA2G4F	0	0	0	0	0	0	0	0	0	0	0	0
LOC116517627	1751	333	565	279	181	455	288	237	520	64	321	154
LOC116509472	225	111	117	204	38	154	73	133	148	13	45	153
TMEM132A	113	60	36	22	5	55	65	29	47	9	22	28
TMEM132C	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509476	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132E	0	2	2	0	0	0	0	0	0	0	0	0
LOC116508812	619	1665	863	1418	753	1050	1279	826	722	758	989	1542
LOC116509546	9	9	6	9	6	8	10	11	14	38	26	13
PMEPA1	403	152	209	50	104	303	205	224	154	50	52	140
ANKRD7	0	0	0	0	0	0	0	0	0	0	0	0
CABCOCO1	5	0	2	0	0	0	0	0	0	0	0	0
MTHFD2	202	134	1613	75	37	290	767	808	879	28	48	187
PGM5	81	32	85	5	9	60	106	62	117	0	37	22
LOC116502413	535	161	197	103	49	375	192	181	390	88	152	152
MTHFD1	127599	38263	34549	63186	9641	34058	39058	32625	28871	20680	51073	47830
GPATCH3	96	29	42	28	10	30	25	26	44	0	12	8
NKX6-3	0	0	0	0	0	0	0	0	0	0	0	0
NKX6-2	0	0	0	0	0	0	0	0	0	0	0	0
NKX6-1	20	0	0	0	5	4	5	0	0	0	0	0
LOC116516484	1180	621	211	507	202	594	631	410	603	340	722	319
STMN2	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519702	0	0	0	0	0	0	0	0	0	0	0	0
LOC116516483	1145	650	255	428	176	487	551	510	377	208	542	266
LOC116521668	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507008	11	0	0	0	0	0	0	0	0	0	0	0
LOC116512103	8	14	0	6	0	18	0	5	0	0	4	0
LOC116512100	3	6	0	0	0	0	0	0	0	0	0	0
LOC116516950	5	3	3	0	0	8	0	0	0	0	0	0
LOC116506628	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	321	222	167	226	72	211	133	326	16	61	210	112
AIDA	1890	596	670	597	217	639	442	455	235	294	713	207
TRIM28	3075	934	903	1207	336	1346	999	823	1145	517	744	1022
LOC116520458	5	3	1	0	0	2	5	2	2	0	0	0
LOC116506626	4829	2626	2614	3566	1163	2891	2537	4035	1173	1910	2213	1630
LOC116506627	0	0	0	0	0	0	0	0	0	0	0	0
CARTPT	22	12	0	5	0	14	0	0	0	0	5	2
PDE5A	267	118	110	80	37	107	68	153	62	62	87	136
SCAP	2348	161	257	253	108	347	270	62	393	103	187	185
FLACC1	10	5	5	2	0	7	0	3	4	0	4	0
CRACD	8	0	2	0	0	0	2	0	0	0	0	0
LOC116509214	8	0	0	0	0	2	0	2	18	0	0	5
LOC116509215	5	0	0	3	0	0	0	0	0	0	0	0
LOC116509212	0	0	0	0	0	0	0	0	0	0	0	0
REL	23	6	14	0	0	49	8	19	0	0	0	4
REN	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520969	282	107	122	172	44	151	106	450	8	57	236	94
PXMP2	842	275	183	195	100	264	233	211	184	63	187	133
LOC116509893	35	6	17	12	0	10	6	18	9	2	3	7
ZAN	0	0	0	0	0	0	0	0	0	0	0	0
B3GNTL1	6	0	0	0	0	7	0	2	0	0	0	0
TAC3	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508552	1	0	0	1	0	0	0	1	0	0	0	0
PRAF2	1382	475	215	289	168	491	307	292	186	136	138	207
SCAI	30	6	17	4	0	5	9	5	13	0	6	7
DBX1	0	0	0	0	0	0	0	0	0	0	0	0
SPATA6	285	118	108	112	16	140	61	72	88	31	128	66
POLK	339	116	100	60	28	167	40	60	24	7	89	51
KREMEN2	23	17	19	8	2	12	10	12	41	0	3	7
SPATA5	1337	493	258	175	162	447	303	343	155	185	343	230
XPNPEP3	98	60	69	65	12	120	79	104	61	0	44	109
XPNPEP2	2173	617	250	605	370	575	628	703	668	364	773	822
XPNPEP1	1209	403	411	339	85	304	184	254	299	172	422	628
POLM	8	0	0	6	0	0	0	0	0	0	0	0
POLB	510	142	97	91	48	118	75	62	126	0	95	81
SLC16A4	6	5	18	8	5	7	0	3	0	0	0	4
SLC25A53	9	1	0	4	4	5	2	0	3	0	1	0
VTI1A	52	10	29	11	6	18	20	12	12	3	9	6
DCX	7	0	0	0	0	0	4	0	0	0	0	0
POLE	28	2	3	15	0	0	0	0	0	0	3	2
DCLK2	17	3	11	2	2	7	0	2	0	0	0	4
LOC116516288	1	1	1	1	1	1	1	2	0	0	1	1
DCLK1	0	0	0	0	0	0	0	2	0	0	0	0
DCC	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508553	0	0	0	0	0	0	0	0	0	0	0	0
LOC116516281	0	0	0	0	0	0	0	1	0	0	1	1
LOC116516280	2	0	0	0	0	1	0	0	0	0	0	0
BYSL	1344	483	330	339	139	589	407	299	439	180	376	404
DCN	104	86	243	96	12	281	256	232	132	88	90	82
LOC116516285	0	0	0	1	1	0	1	1	0	0	1	1
LOC116516284	0	0	2	0	1	0	0	0	0	0	1	0
LOC116516287	0	0	1	0	0	0	0	0	0	0	1	0
LOC116516286	0	0	0	0	0	0	0	1	0	0	0	0
HM13	5299	1318	1367	1404	527	1396	1380	926	1410	669	1047	1040
RFX1	880	299	257	214	62	363	170	189	252	110	166	220
AMOTL1	127	36	81	30	4	41	45	45	12	5	5	38
LOC116518348	0	0	0	0	0	0	0	0	0	0	0	0
TBX19	8	9	7	4	0	5	0	0	0	0	2	0
GPR148	0	0	0	0	0	0	0	0	0	0	0	0
DPH3	66	9	18	4	0	21	6	3	7	0	0	11
LOC116522656	0	0	0	0	0	0	0	0	0	0	0	0
SARNP	461	170	149	158	60	147	94	133	88	19	136	138
RFX3	82	27	38	14	0	13	23	7	23	0	10	13
FAM171B	45	19	34	17	11	25	9	22	30	0	25	26
TNNI1	0	2	0	0	0	3	0	0	0	0	0	2
RFX2	210	8	43	11	7	24	16	8	47	0	8	5
CDR2	236	157	161	161	16	64	28	109	63	19	14	926
ERBB3	2164	501	443	553	106	688	534	692	346	179	451	393
LOC116503014	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518347	0	0	0	0	0	0	0	0	0	0	0	0
ZUP1	204	60	39	47	20	98	34	43	0	4	49	23
LIMK1	99	25	50	7	4	136	49	18	0	0	5	14
LOC116503018	104	26	58	23	14	39	22	21	10	3	25	21
ERBB2	289	126	91	60	9	126	82	56	230	48	43	87
INPP1	100	22	55	19	8	27	37	29	14	11	27	45
TNNI3	0	0	0	0	0	0	12	0	0	0	0	0
EMP3	78	23	75	26	5	97	42	40	13	13	17	31
LOC116511451	22	12	16	2	6	10	8	6	0	0	8	0
CD63	2181	1004	1364	1517	295	1182	1069	897	1274	517	884	1122
LOC116511100	962	136	432	256	94	384	359	445	579	116	133	302
PARVA	227	95	215	92	30	127	115	108	84	25	93	80
LOC116504378	50	10	13	12	0	10	6	5	0	0	17	15
LOC116507869	14	0	0	4	0	0	0	0	0	0	0	0
LOC116507868	176	28	4	119	54	8	24	54	43	58	46	27
LOC116507867	503	157	137	86	62	93	111	124	256	70	84	118
SAMD7	0	0	0	0	0	0	0	0	0	0	0	0
LOC116511109	0	0	0	0	0	1	1	0	0	0	0	0
CHTF18	1170	358	234	311	75	272	286	211	342	88	276	271
LOC116507863	147	57	32	28	0	46	20	36	0	0	29	20
KIF22	9	0	0	0	0	4	0	0	0	0	0	5
CLMP	15	5	24	4	4	16	8	14	0	0	3	3
METTL5	85	18	13	15	4	8	0	14	0	0	14	5
CLMN	2662	1005	875	637	397	1131	611	532	606	273	464	589
METTL6	87	58	51	48	12	50	32	33	4	18	38	29
METTL1	159	45	61	37	19	64	52	37	88	0	32	29
SAMD5	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523957	0	0	0	0	0	0	0	0	1	0	0	0
LOC116523956	6	4	0	0	0	0	0	3	0	0	0	0
LOC116523472	0	0	0	0	0	0	0	0	0	0	0	0
TAOK2	1438	415	263	213	160	312	228	302	270	56	323	253
METTL9	602	178	175	158	76	190	152	89	36	53	208	112
LOC116515237	0	0	1	0	0	2	0	0	0	0	0	0
SHANK2	1242	428	378	428	141	500	373	683	205	180	336	478
LOC116510857	1	2	5	1	1	0	1	1	0	0	0	5
LOC116506992	0	0	3	12	8	0	0	0	0	0	0	9
LOC116515724	211	189	172	469	59	511	207	308	90	152	297	126
LOC116522402	31	7	12	3	3	9	14	12	15	10	6	2
LOC116510853	3	0	1	0	0	1	3	4	0	0	1	1
LOC116510850	0	0	1	0	0	0	0	1	0	0	2	1
EPHA1	7	0	14	5	0	4	20	5	22	0	2	11
FLT3	7	0	2	0	0	0	0	0	0	0	0	0
ACADS	16465	2021	2068	2189	1728	2497	2491	1470	2686	692	1323	1263
IFI35	220	54	61	64	23	85	87	68	66	19	52	75
LOC116510858	0	0	1	0	0	0	0	0	0	0	0	0
LOC116510859	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520356	12	5	0	5	3	9	11	7	0	0	8	0
MAPKAPK2	1269	514	775	323	117	685	279	315	293	191	339	282
LOC116520606	0	0	5	0	0	0	0	0	0	0	4	0
LOC116520607	2	0	3	1	2	0	91	0	4	0	2	61
TRNAA-AGC-8	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508178	9	4	4	8	2	6	10	6	4	0	4	7
LOC116521688	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520603	20	0	0	0	0	3	0	0	0	0	0	0
LOC116514145	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504371	35	0	0	6	0	20	0	0	0	0	21	26
LOC116520608	183	159	108	0	40	153	70	0	144	0	244	94
LOC116520609	0	0	10	0	0	2	17	0	7	0	2	17
VPS72	138	19	34	34	12	30	17	7	43	2	20	8
LOC116524042	0	0	0	0	0	0	0	0	0	0	0	0
NDC80	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508492	22	12	22	16	2	17	19	11	4	3	5	5
LOC116506949	133	31	26	43	18	52	22	24	25	5	24	16
LOC116508491	58	2	23	10	0	23	14	0	0	0	5	0
LOC116508557	0	0	0	0	0	0	0	0	0	0	0	0
SDHAF2	582	138	95	107	67	157	95	68	96	0	63	66
LOC116507710	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507713	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508490	177	76	68	80	27	93	81	35	23	25	84	49
NUP58	549	277	186	158	51	218	105	137	75	19	137	121
SUN2	303	105	52	68	17	86	24	81	18	66	55	74
SUN1	1105	438	452	415	171	567	443	575	263	177	272	538
NUP54	584	222	152	178	69	275	178	160	168	30	134	165
LOC116507718	0	0	4	0	0	0	0	0	0	0	0	0
PSIP1	427	221	170	165	75	228	101	156	42	102	143	100
NUP50	3213	1017	938	993	417	1037	810	528	744	290	900	587
SAR1B	789	438	655	400	135	513	305	631	479	421	397	517
PCLO	24	9	2	13	3	0	6	2	26	0	0	7
LOC116524044	0	0	0	0	0	0	0	0	0	0	0	0
TADA1	143	59	15	56	13	22	7	26	0	15	39	11
ENOX2	44	22	46	6	6	27	36	18	33	5	4	40
PDE10A	0	3	0	111	0	4	4	238	0	0	20	25
LOC116521565	0	0	0	0	0	0	0	0	0	0	0	0
RALGPS1	490	246	511	262	72	349	154	190	266	95	282	326
LOC116513644	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521916	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513598	0	0	0	0	0	0	0	0	0	0	0	0
C8B	12235	4756	3493	6799	2089	5620	3961	8312	2536	3620	6634	5383
TMEM255B	9	0	0	3	0	0	0	0	0	0	0	2
TMEM200A	5	3	23	8	0	7	6	11	0	0	3	3
TMEM200B	609	94	24	87	73	54	147	117	78	85	44	84
TMEM255A	0	0	0	0	0	0	0	0	0	0	0	0
C8A	23157	9799	6590	12532	3986	8407	6972	10563	3562	5598	7102	8484
LOC116520972	0	0	0	0	0	0	0	0	0	0	0	0
CLDN5	8	8	42	4	1	8	7	4	66	0	6	5
LOC116518705	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518702	0	0	0	0	0	0	0	0	0	0	0	0
CLDN2	2807	509	1117	655	273	597	537	656	559	257	357	341
LOC116518700	3	0	0	0	0	0	0	0	0	0	0	0
LOC116518701	0	0	0	0	0	0	0	0	0	0	0	0
C8G	5503	1208	1017	1606	904	1492	1014	1289	1864	556	316	556
FAT4	41	10	18	9	4	16	2	16	10	0	5	4
LOC116520979	0	0	0	0	0	0	0	0	0	0	0	0
FAT2	0	0	0	0	0	0	0	0	0	0	0	0
