INFO,scaffold,start,end,mid,sites,pi_MAH,pi_MER,pi_PVM,pi_SUM,pi_STO,pi_CHR,pi_RON,pi_ROC,pi_ELF,pi_NAM,pi_MAR,pi_PAP,dxy_MAH_MER,dxy_MAH_PVM,dxy_MAH_SUM,dxy_MAH_STO,dxy_MAH_CHR,dxy_MAH_RON,dxy_MAH_ROC,dxy_MAH_ELF,dxy_MAH_NAM,dxy_MAH_MAR,dxy_MAH_PAP,dxy_MER_PVM,dxy_MER_SUM,dxy_MER_STO,dxy_MER_CHR,dxy_MER_RON,dxy_MER_ROC,dxy_MER_ELF,dxy_MER_NAM,dxy_MER_MAR,dxy_MER_PAP,dxy_PVM_SUM,dxy_PVM_STO,dxy_PVM_CHR,dxy_PVM_RON,dxy_PVM_ROC,dxy_PVM_ELF,dxy_PVM_NAM,dxy_PVM_MAR,dxy_PVM_PAP,dxy_SUM_STO,dxy_SUM_CHR,dxy_SUM_RON,dxy_SUM_ROC,dxy_SUM_ELF,dxy_SUM_NAM,dxy_SUM_MAR,dxy_SUM_PAP,dxy_STO_CHR,dxy_STO_RON,dxy_STO_ROC,dxy_STO_ELF,dxy_STO_NAM,dxy_STO_MAR,dxy_STO_PAP,dxy_CHR_RON,dxy_CHR_ROC,dxy_CHR_ELF,dxy_CHR_NAM,dxy_CHR_MAR,dxy_CHR_PAP,dxy_RON_ROC,dxy_RON_ELF,dxy_RON_NAM,dxy_RON_MAR,dxy_RON_PAP,dxy_ROC_ELF,dxy_ROC_NAM,dxy_ROC_MAR,dxy_ROC_PAP,dxy_ELF_NAM,dxy_ELF_MAR,dxy_ELF_PAP,dxy_NAM_MAR,dxy_NAM_PAP,dxy_MAR_PAP,Fst_MAH_MER,Fst_MAH_PVM,Fst_MAH_SUM,Fst_MAH_STO,Fst_MAH_CHR,Fst_MAH_RON,Fst_MAH_ROC,Fst_MAH_ELF,Fst_MAH_NAM,Fst_MAH_MAR,Fst_MAH_PAP,Fst_MER_PVM,Fst_MER_SUM,Fst_MER_STO,Fst_MER_CHR,Fst_MER_RON,Fst_MER_ROC,Fst_MER_ELF,Fst_MER_NAM,Fst_MER_MAR,Fst_MER_PAP,Fst_PVM_SUM,Fst_PVM_STO,Fst_PVM_CHR,Fst_PVM_RON,Fst_PVM_ROC,Fst_PVM_ELF,Fst_PVM_NAM,Fst_PVM_MAR,Fst_PVM_PAP,Fst_SUM_STO,Fst_SUM_CHR,Fst_SUM_RON,Fst_SUM_ROC,Fst_SUM_ELF,Fst_SUM_NAM,Fst_SUM_MAR,Fst_SUM_PAP,Fst_STO_CHR,Fst_STO_RON,Fst_STO_ROC,Fst_STO_ELF,Fst_STO_NAM,Fst_STO_MAR,Fst_STO_PAP,Fst_CHR_RON,Fst_CHR_ROC,Fst_CHR_ELF,Fst_CHR_NAM,Fst_CHR_MAR,Fst_CHR_PAP,Fst_RON_ROC,Fst_RON_ELF,Fst_RON_NAM,Fst_RON_MAR,Fst_RON_PAP,Fst_ROC_ELF,Fst_ROC_NAM,Fst_ROC_MAR,Fst_ROC_PAP,Fst_ELF_NAM,Fst_ELF_MAR,Fst_ELF_PAP,Fst_NAM_MAR,Fst_NAM_PAP,Fst_MAR_PAP,Category_I,Category_2
CATSPER2,NC_045548.1,75263761,75263761,75263761,1,0.3254,0.4945,0.4667,0.4994,0.4991,0.4421,0.1111,0.4545,0.362,1,0.3265,0.3994,0.4143,0.38,0.46,0.4586,0.38,0.2333,0.3909,0.3385,0.5,0.32,0.3607,0.4429,0.481,0.4803,0.4429,0.373,0.4481,0.4231,0.5,0.4143,0.4337,0.4733,0.4724,0.42,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.4908,0.4733,0.4407,0.4758,0.4641,0.5,0.46,0.469,0.4724,0.4387,0.4749,0.4629,0.5,0.4586,0.468,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.3384,0.2607,0.5,0.2333,0.2937,0.4021,0.5,0.3909,0.4156,0.5,0.3385,0.375,0.5,0.5,0.3607,0.0144,-0.0043,0.0703,0.0692,0.0051,-7e-04,0.0115,-0.0092,-0.2591,-0.0094,-0.0029,-0.0413,-0.0101,-0.0106,-0.0282,0.1134,-0.0283,0.0066,-0.4556,0.0276,-0.0046,-0.0049,-0.0054,-0.0364,0.0625,-0.0333,-0.0089,-0.5625,0.0033,-0.0134,-0.0086,0.002,0.1062,-0.001,0.0528,-0.1663,0.0856,0.0304,0.0014,0.1073,-0.0016,0.0519,-0.1712,0.0847,0.0295,0.0757,-0.0246,-0.0021,-0.4329,0.0155,-0.0099,0.0859,-3e-04,-1.463,-0.0263,0.0174,0.0032,-0.3952,0.0237,-0.0071,-0.2423,-0.0052,-0.0065,-0.2498,-0.2096,0.0055,reproduction,sperm
CATSPER2,NC_045548.1,75263490,75263490,75263490,1,0.4944,0.5385,0.5333,0.4401,0.4065,0.5211,0.4706,0.4848,0.5069,0,0.458,0.4773,0.5,0.5167,0.4694,0.4626,0.5083,0.5278,0.5227,0.4933,0.4167,0.5267,0.4792,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5367,0.5448,0.49,0.4667,0.4727,0.508,0.6,0.468,0.525,0.4178,0.5183,0.5611,0.55,0.4853,0.3167,0.5587,0.4542,0.5224,0.5747,0.5611,0.4821,0.2759,0.5717,0.444,0.4833,0.4864,0.504,0.55,0.484,0.5125,0.4545,0.5133,0.6667,0.4467,0.5417,0.5109,0.6364,0.4564,0.5341,0.46,0.5128,0.49,0.66,0.375,0.54,-0.0083,0.0028,-0.0021,0.0061,0.002,0.031,0.0255,-0.008,0.1373,0.0535,-0.0068,-0.0351,0.0072,0.0198,-0.0289,-0.0046,-0.0114,-0.0131,0.4477,0.0101,-0.0021,0.0266,0.0429,-0.0337,-0.0353,-0.0333,-0.0051,0.5556,-0.0101,0.0128,-0.0066,0.0302,0.0784,0.0714,0.0038,0.1511,0.1061,-0.0083,0.0494,0.1058,0.0982,0.014,0.1531,0.1313,-0.0042,-0.013,-0.0172,-0.0068,0.3783,0.0036,0.0133,-0.0252,0.0159,0.4412,-0.0136,0.0501,0.0106,0.3815,-0.0102,0.0439,0.1513,0.033,-0.0034,0.1732,0.1409,0.0738,reproduction,sperm
CATSPER2,NC_045548.1,75264318,75264318,75264318,1,0.3254,0.4945,0.4667,0.4994,0.4991,0.4421,0.1111,0.4545,0.362,1,0.3265,0.3994,0.4143,0.38,0.46,0.4586,0.38,0.2333,0.3909,0.3385,0.5,0.32,0.3607,0.4429,0.481,0.4803,0.4429,0.373,0.4481,0.4231,0.5,0.4143,0.4337,0.4733,0.4724,0.42,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.4908,0.4733,0.4407,0.4758,0.4641,0.5,0.46,0.469,0.4724,0.4387,0.4749,0.4629,0.5,0.4586,0.468,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.3384,0.2607,0.5,0.2333,0.2937,0.4021,0.5,0.3909,0.4156,0.5,0.3385,0.375,0.5,0.5,0.3607,0.0144,-0.0043,0.0703,0.0692,0.0051,-7e-04,0.0115,-0.0092,-0.2591,-0.0094,-0.0029,-0.0413,-0.0101,-0.0106,-0.0282,0.1134,-0.0283,0.0066,-0.4556,0.0276,-0.0046,-0.0049,-0.0054,-0.0364,0.0625,-0.0333,-0.0089,-0.5625,0.0033,-0.0134,-0.0086,0.002,0.1062,-0.001,0.0528,-0.1663,0.0856,0.0304,0.0014,0.1073,-0.0016,0.0519,-0.1712,0.0847,0.0295,0.0757,-0.0246,-0.0021,-0.4329,0.0155,-0.0099,0.0859,-3e-04,-1.463,-0.0263,0.0174,0.0032,-0.3952,0.0237,-0.0071,-0.2423,-0.0052,-0.0065,-0.2498,-0.2096,0.0055,reproduction,sperm
CATSPER2,NC_045548.1,75264298,75264298,75264298,1,0.3254,0.4945,0.4667,0.4994,0.4991,0.4421,0.1111,0.4545,0.362,1,0.3265,0.3994,0.4143,0.38,0.46,0.4586,0.38,0.2333,0.3909,0.3385,0.5,0.32,0.3607,0.4429,0.481,0.4803,0.4429,0.373,0.4481,0.4231,0.5,0.4143,0.4337,0.4733,0.4724,0.42,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.4908,0.4733,0.4407,0.4758,0.4641,0.5,0.46,0.469,0.4724,0.4387,0.4749,0.4629,0.5,0.4586,0.468,0.3222,0.4273,0.3923,0.5,0.38,0.4071,0.3384,0.2607,0.5,0.2333,0.2937,0.4021,0.5,0.3909,0.4156,0.5,0.3385,0.375,0.5,0.5,0.3607,0.0144,-0.0043,0.0703,0.0692,0.0051,-7e-04,0.0115,-0.0092,-0.2591,-0.0094,-0.0029,-0.0413,-0.0101,-0.0106,-0.0282,0.1134,-0.0283,0.0066,-0.4556,0.0276,-0.0046,-0.0049,-0.0054,-0.0364,0.0625,-0.0333,-0.0089,-0.5625,0.0033,-0.0134,-0.0086,0.002,0.1062,-0.001,0.0528,-0.1663,0.0856,0.0304,0.0014,0.1073,-0.0016,0.0519,-0.1712,0.0847,0.0295,0.0757,-0.0246,-0.0021,-0.4329,0.0155,-0.0099,0.0859,-3e-04,-1.463,-0.0263,0.0174,0.0032,-0.3952,0.0237,-0.0071,-0.2423,-0.0052,-0.0065,-0.2498,-0.2096,0.0055,reproduction,sperm
CATSPER2,NC_045548.1,75264166,75264166,75264166,1,0,0,0,0,0,0,0,0,0,0,0.3012,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0.18,0,0,0,0,0.18,0,0,0,0.18,0,0,0.18,0,0.18,0,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0223,NA,NA,NA,NA,NA,NA,NA,NA,-0.0164,NA,NA,NA,NA,NA,NA,NA,-0.0697,NA,NA,NA,NA,NA,NA,-0.0683,NA,NA,NA,NA,NA,-0.0306,NA,NA,NA,NA,-0.0279,NA,NA,NA,-0.0332,NA,NA,0.0316,NA,0.1189,NA,0.0117,reproduction,sperm
CATSPER3,NC_045542.1,86001978,86001978,86001978,1,0.3554,0,0,0.3045,0.0998,0,0.1111,0.0909,0.1502,1,0.037,0.2299,0.2258,0.2258,0.3263,0.2542,0.2258,0.2563,0.2507,0.2697,0.5,0.236,0.2969,0,0.1833,0.0517,0,0.0556,0.0455,0.08,0.5,0.0185,0.1296,0.1833,0.0517,0,0.0556,0.0455,0.08,0.5,0.0185,0.1296,0.2161,0.1833,0.2185,0.2121,0.234,0.5,0.1951,0.2654,0.0517,0.1015,0.0925,0.1234,0.5,0.0683,0.1679,0.0556,0.0455,0.08,0.5,0.0185,0.1296,0.096,0.1267,0.5,0.072,0.1708,0.1182,0.5,0.0623,0.1633,0.5,0.0956,0.1889,0.5,0.5,0.1433,0.0277,0.0212,-0.0102,0.0231,0.0358,0.0102,0.0161,0.0545,-0.2335,0.1362,0.0154,NA,0.0377,0.0071,NA,0,0,-0.0353,-2.6923,-0.0494,-0.0119,0.0287,0.0054,NA,0,0,-0.0265,-2.2727,-0.037,-0.0088,0.0333,0.0491,0.0146,0.0226,0.054,-0.3251,0.1555,0.0106,0.0094,-0.0143,-0.0121,-0.0318,-1.0081,0.0577,-0.0303,0,0,-0.0469,-3.125,-0.0658,-0.0161,-0.0263,-0.0242,-1.463,0.0472,-0.0207,-0.0303,-1.5829,0.0387,-0.0224,-0.6046,0.0144,0.0017,-1.5376,-0.3972,0.0565,reproduction,sperm
CATSPER4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reproduction,sperm
CATSPERG,NC_045552.1,2892124,2892124,2892124,1,0.0333,0,0.3556,0.4271,0.4217,0.2684,0.1111,0.4156,0.0385,0,0.3502,0.0357,0.0167,0.21,0.3067,0.3,0.1617,0.0704,0.2803,0.0353,0.0167,0.2293,0.0339,0.2,0.3,0.2931,0.15,0.0556,0.2727,0.0192,0,0.22,0.0179,0.38,0.3759,0.29,0.2333,0.3636,0.2115,0.2,0.332,0.2107,0.4172,0.36,0.3222,0.4091,0.3077,0.3,0.388,0.3071,0.3552,0.3161,0.406,0.3011,0.2931,0.3841,0.3005,0.1889,0.3409,0.1635,0.15,0.304,0.1625,0.298,0.0726,0.0556,0.2511,0.0714,0.2815,0.2727,0.3727,0.2808,0.0192,0.2308,0.0364,0.22,0.0179,0.23,-0.0278,0.1156,0.1998,0.1974,0.1105,0.0271,0.2109,-0.011,0.1179,0.0224,-0.0089,0.0707,0.072,0.0715,0.0475,0,0.1111,-0.0414,NA,-0.0092,-0.0312,-0.0068,-0.0079,-0.0352,0,-0.0251,0.1313,0.4667,-0.0164,0.117,-0.0086,0.0118,0.0512,-0.0116,0.2031,0.1502,0.0156,0.1962,0.0101,0.0497,-0.0123,0.2013,0.154,0.0131,0.194,-0.0023,-0.0016,0.1241,0.3201,-0.0228,0.111,0.0594,0.0338,0.3333,-0.0214,0.0271,0.2229,0.3128,-1e-04,0.2104,0.1255,0.0399,-0.0102,0.121,0.1236,0.0252,reproduction,sperm
CATSPERG,NC_045552.1,2892112,2892112,2892112,1,0.0333,0,0.3556,0.4271,0.4065,0.2684,0.1111,0.4156,0.0385,0,0.3502,0.0357,0.0167,0.21,0.3067,0.2833,0.1617,0.0704,0.2803,0.0353,0.0167,0.2293,0.0339,0.2,0.3,0.2759,0.15,0.0556,0.2727,0.0192,0,0.22,0.0179,0.38,0.3655,0.29,0.2333,0.3636,0.2115,0.2,0.332,0.2107,0.4103,0.36,0.3222,0.4091,0.3077,0.3,0.388,0.3071,0.3431,0.3008,0.3981,0.2845,0.2759,0.3745,0.2839,0.1889,0.3409,0.1635,0.15,0.304,0.1625,0.298,0.0726,0.0556,0.2511,0.0714,0.2815,0.2727,0.3727,0.2808,0.0192,0.2308,0.0364,0.22,0.0179,0.23,-0.0278,0.1156,0.1998,0.1861,0.1105,0.0271,0.2109,-0.011,0.1179,0.0224,-0.0089,0.0707,0.072,0.0658,0.0475,0,0.1111,-0.0414,NA,-0.0092,-0.0312,-0.0068,-0.01,-0.0352,0,-0.0251,0.1313,0.4667,-0.0164,0.117,-0.0079,0.0118,0.0512,-0.0116,0.2031,0.1502,0.0156,0.1962,0.0058,0.0437,-0.0129,0.1906,0.1531,0.0073,0.183,-0.0023,-0.0016,0.1241,0.3201,-0.0228,0.111,0.0594,0.0338,0.3333,-0.0214,0.0271,0.2229,0.3128,-1e-04,0.2104,0.1255,0.0399,-0.0102,0.121,0.1236,0.0252,reproduction,sperm
CATSPERG,NC_045552.1,2890906,2890906,2890906,1,0,0,0.3556,0.4487,0.4249,0.2684,0.1111,0.4156,0,0,0.3717,0.0476,0,0.2,0.3269,0.2963,0.15,0.0556,0.2727,0,0,0.2381,0.0238,0.2,0.3269,0.2963,0.15,0.0556,0.2727,0,0,0.2381,0.0238,0.3962,0.3778,0.29,0.2333,0.3636,0.2,0.2,0.3429,0.2143,0.4295,0.3788,0.3462,0.4213,0.3269,0.3269,0.4093,0.3352,0.3574,0.3189,0.4074,0.2963,0.2963,0.3933,0.306,0.1889,0.3409,0.15,0.15,0.3167,0.1667,0.298,0.0556,0.0556,0.2672,0.0767,0.2727,0.2727,0.381,0.2835,0,0.2381,0.0238,0.2381,0.0238,0.2506,NA,0.2552,0.2265,0.2326,0.2237,0.1591,0.3092,NA,NA,-0.0037,-0.1324,0.0707,0.0631,0.0629,0.0475,0,0.1111,NA,NA,-0.0369,-0.1,-0.0078,-0.0097,-0.0352,0,-0.0251,0.3869,0.4667,-0.0212,0.205,-0.0095,0.008,0.0433,-0.0128,0.2872,0.1493,0.016,0.2376,0.0055,0.0417,-0.0131,0.2925,0.1529,0.0084,0.2392,-0.0023,-0.0016,0.3385,0.3201,-0.0352,0.1933,0.0594,0.2927,0.3333,-0.0455,0.0658,0.4017,0.3128,-0.0032,0.2946,NA,0.1045,0.0088,0.1172,0.1136,0.0692,reproduction,sperm
CATSPERG,NC_045552.1,2890912,2890912,2890912,1,0,0,0.3556,0.4487,0.4156,0.2684,0.1111,0.4156,0,0,0.3717,0.0476,0,0.2,0.3269,0.2857,0.15,0.0556,0.2727,0,0,0.2381,0.0238,0.2,0.3269,0.2857,0.15,0.0556,0.2727,0,0,0.2381,0.0238,0.3962,0.3714,0.29,0.2333,0.3636,0.2,0.2,0.3429,0.2143,0.4258,0.3788,0.3462,0.4213,0.3269,0.3269,0.4093,0.3352,0.35,0.3095,0.4026,0.2857,0.2857,0.3878,0.2959,0.1889,0.3409,0.15,0.15,0.3167,0.1667,0.298,0.0556,0.0556,0.2672,0.0767,0.2727,0.2727,0.381,0.2835,0,0.2381,0.0238,0.2381,0.0238,0.2506,NA,0.2552,0.2265,0.2379,0.2237,0.1591,0.3092,NA,NA,-0.0037,-0.1324,0.0707,0.0631,0.0643,0.0475,0,0.1111,NA,NA,-0.0369,-0.1,-0.0078,-0.0098,-0.0352,0,-0.0251,0.4109,0.4667,-0.0212,0.205,-0.0095,0.008,0.0433,-0.0128,0.2993,0.1493,0.016,0.2376,0.0057,0.0426,-0.013,0.308,0.153,0.0058,0.2416,-0.0023,-0.0016,0.3597,0.3201,-0.0352,0.1933,0.0594,0.3171,0.3333,-0.0455,0.0658,0.4192,0.3128,-0.0032,0.2946,NA,0.1235,0.033,0.1172,0.1136,0.0692,reproduction,sperm
CATSPERG,NC_045552.1,2892063,2892063,2892063,1,0.0333,0,0.25,0.4271,0.4217,0.2684,0.1111,0.4156,0.0385,0,0.3502,0.037,0.0167,0.1375,0.3067,0.3,0.1617,0.0704,0.2803,0.0353,0.0167,0.2293,0.0346,0.125,0.3,0.2931,0.15,0.0556,0.2727,0.0192,0,0.22,0.0185,0.35,0.3448,0.2375,0.1667,0.3295,0.1394,0.125,0.29,0.1389,0.4172,0.36,0.3222,0.4091,0.3077,0.3,0.388,0.3074,0.3552,0.3161,0.406,0.3011,0.2931,0.3841,0.3008,0.1889,0.3409,0.1635,0.15,0.304,0.163,0.298,0.0726,0.0556,0.2511,0.072,0.2815,0.2727,0.3727,0.2811,0.0192,0.2308,0.037,0.22,0.0185,0.2304,-0.0278,-0.0426,0.1998,0.1974,0.1105,0.0271,0.2109,-0.011,0.1179,0.0224,-0.0102,-0.1458,0.072,0.0715,0.0475,0,0.1111,-0.0414,NA,-0.0092,-0.0389,0.0168,0.0158,-0.0327,-0.0882,0.017,-0.0231,0.4318,-0.0112,-0.0252,-0.0086,0.0118,0.0512,-0.0116,0.2031,0.1502,0.0156,0.205,0.0101,0.0497,-0.0123,0.2013,0.154,0.0131,0.203,-0.0023,-0.0016,0.1241,0.3201,-0.0228,0.1236,0.0594,0.0338,0.3333,-0.0214,0.034,0.2229,0.3128,-1e-04,0.223,0.1255,0.0399,-0.0097,0.121,0.1225,0.0383,reproduction,sperm
CATSPERG,NC_045552.1,2890856,2890856,2890856,1,0.0333,0,0.3556,0.4857,0.4483,0.2684,0.1111,0.5195,0.0455,0,0.4145,0.0816,0.0167,0.21,0.3964,0.3333,0.1617,0.0704,0.4561,0.0386,0.0167,0.2899,0.0569,0.2,0.3929,0.3276,0.15,0.0556,0.4545,0.0227,0,0.2826,0.0417,0.4357,0.3966,0.29,0.2333,0.4727,0.2136,0.2,0.3696,0.225,0.4631,0.425,0.4048,0.4903,0.3977,0.3929,0.4534,0.4018,0.3793,0.3467,0.4843,0.3354,0.3276,0.425,0.342,0.1889,0.4682,0.1659,0.15,0.3478,0.1792,0.4596,0.0758,0.0556,0.3068,0.0926,0.4566,0.4545,0.4802,0.4583,0.0227,0.2925,0.0625,0.2826,0.0417,0.3007,-0.0278,0.1156,0.245,0.2204,0.1105,0.0271,0.3639,-0.0272,0.1179,0.0325,-0.0407,0.0707,0.0994,0.0834,0.0475,0,0.2308,-0.0816,NA,-6e-04,-0.0603,0.006,-0.0032,-0.0352,0,0.0323,0.1829,0.4667,-0.0195,0.0999,-0.0057,0.0357,0.0806,-0.0094,0.2775,0.1552,0.0173,0.2356,0.0197,0.0625,4e-04,0.2557,0.1561,9e-04,0.211,-0.0023,0.0866,0.1722,0.3201,-0.0243,0.0959,0.1791,0.0566,0.3333,-0.015,0.0025,0.4089,0.3373,0.0325,0.3371,0.1196,0.1033,0,0.1228,0.1194,0.0671,reproduction,sperm
CATSPERG,NC_045552.1,2893975,2893975,2893975,1,0.3339,0.3626,0.3556,0.4944,0.4598,0.4421,0.325,0.4545,0.4487,0,0.3722,0.2987,0.3325,0.3241,0.4511,0.409,0.3828,0.3168,0.3934,0.3985,0.2069,0.3476,0.3116,0.3286,0.4524,0.4113,0.3857,0.3214,0.3961,0.4011,0.2143,0.3514,0.3163,0.45,0.4069,0.38,0.3125,0.3909,0.3962,0.2,0.344,0.3071,0.4741,0.4667,0.4479,0.4697,0.4712,0.4167,0.4567,0.4464,0.4379,0.403,0.4436,0.4463,0.3448,0.4193,0.4002,0.375,0.4273,0.4308,0.3,0.396,0.3714,0.3864,0.3918,0.1875,0.3375,0.2991,0.4371,0.3182,0.4055,0.3831,0.3269,0.41,0.3887,0.24,0.1786,0.3329,-0.0126,-0.0144,0.0603,0.0299,0.0046,-0.0136,0.0109,0.0078,0.124,-0.012,-0.0083,-0.045,0.0156,1e-04,-0.0207,-0.0315,-0.0148,-0.0102,0.3992,-0.0166,-0.01,0.0129,-4e-04,-0.0214,-0.0397,-0.015,-0.0094,0.4667,-0.0174,-0.0135,-0.0031,-0.0012,0.0346,-0.0039,0.0046,0.1578,0.0487,0.078,-0.0112,0.0148,-0.0121,-0.0076,0.1571,0.0214,0.044,-0.0024,-0.0246,-0.0141,0.3351,-5e-04,0.0142,0.0051,-3e-04,0.337,-0.0166,-0.0142,-0.0133,0.3178,0.0052,0.0222,0.1403,0.0054,0.0157,0.1222,0.1296,-0.0135,reproduction,sperm
CATSPERG,NC_045552.1,2893980,2893980,2893980,1,0.0333,0,0.3556,0.4271,0.4217,0.2684,0.1111,0.4156,0.04,0,0.3502,0.0701,0.0167,0.21,0.3067,0.3,0.1617,0.0704,0.2803,0.036,0.0167,0.2293,0.0512,0.2,0.3,0.2931,0.15,0.0556,0.2727,0.02,0,0.22,0.0357,0.38,0.3759,0.29,0.2333,0.3636,0.212,0.2,0.332,0.2214,0.4172,0.36,0.3222,0.4091,0.308,0.3,0.388,0.3143,0.3552,0.3161,0.406,0.3014,0.2931,0.3841,0.3079,0.1889,0.3409,0.164,0.15,0.304,0.175,0.298,0.0733,0.0556,0.2511,0.0873,0.2818,0.2727,0.3727,0.289,0.02,0.2312,0.0543,0.22,0.0357,0.24,-0.0278,0.1156,0.1998,0.1974,0.1105,0.0271,0.2109,-0.0135,0.1179,0.0224,-0.0072,0.0707,0.072,0.0715,0.0475,0,0.1111,-0.0503,NA,-0.0092,-0.0274,-0.0068,-0.0079,-0.0352,0,-0.0251,0.1446,0.4667,-0.0164,0.0686,-0.0086,0.0118,0.0512,-0.0116,0.2118,0.1502,0.0156,0.1658,0.0101,0.0497,-0.0123,0.2102,0.154,0.0131,0.163,-0.0023,-0.0016,0.1366,0.3201,-0.0228,0.0668,0.0594,0.0403,0.3333,-0.0214,-7e-04,0.2356,0.3128,-1e-04,0.1608,0.1242,0.0529,0.0041,0.121,0.1242,0.0136,reproduction,sperm
CATSPERG,NC_045552.1,2893982,2893982,2893982,1,0.0333,0,0.3556,0.4271,0.4217,0.2684,0.125,0.4156,0.04,0,0.3502,0.0701,0.0167,0.21,0.3067,0.3,0.1617,0.0771,0.2803,0.036,0.0167,0.2293,0.0512,0.2,0.3,0.2931,0.15,0.0625,0.2727,0.02,0,0.22,0.0357,0.38,0.3759,0.29,0.2375,0.3636,0.212,0.2,0.332,0.2214,0.4172,0.36,0.325,0.4091,0.308,0.3,0.388,0.3143,0.3552,0.319,0.406,0.3014,0.2931,0.3841,0.3079,0.1938,0.3409,0.164,0.15,0.304,0.175,0.3011,0.08,0.0625,0.255,0.0938,0.2818,0.2727,0.3727,0.289,0.02,0.2312,0.0543,0.22,0.0357,0.24,-0.0278,0.1156,0.1998,0.1974,0.1105,-0.003,0.2109,-0.0135,0.1179,0.0224,-0.0072,0.0707,0.072,0.0715,0.0475,-0.0547,0.1111,-0.0503,NA,-0.0092,-0.0274,-0.0068,-0.0079,-0.0352,0.0234,-0.0251,0.1446,0.4667,-0.0164,0.0686,-0.0086,0.0118,0.0595,-0.0116,0.2118,0.1502,0.0156,0.1658,0.0101,0.0584,-0.0123,0.2102,0.154,0.0131,0.163,0.0132,-0.0016,0.1366,0.3201,-0.0228,0.0668,0.0773,0.017,0.325,-0.0068,-0.0111,0.2356,0.3128,-1e-04,0.1608,0.1242,0.0529,0.0041,0.121,0.1242,0.0136,reproduction,sperm
CATSPERG,NC_045552.1,2892076,2892076,2892076,1,0.0333,0,0.3556,0.4271,0.4217,0.2684,0.1111,0.4156,0.0385,0,0.3502,0.0357,0.0167,0.21,0.3067,0.3,0.1617,0.0704,0.2803,0.0353,0.0167,0.2293,0.0339,0.2,0.3,0.2931,0.15,0.0556,0.2727,0.0192,0,0.22,0.0179,0.38,0.3759,0.29,0.2333,0.3636,0.2115,0.2,0.332,0.2107,0.4172,0.36,0.3222,0.4091,0.3077,0.3,0.388,0.3071,0.3552,0.3161,0.406,0.3011,0.2931,0.3841,0.3005,0.1889,0.3409,0.1635,0.15,0.304,0.1625,0.298,0.0726,0.0556,0.2511,0.0714,0.2815,0.2727,0.3727,0.2808,0.0192,0.2308,0.0364,0.22,0.0179,0.23,-0.0278,0.1156,0.1998,0.1974,0.1105,0.0271,0.2109,-0.011,0.1179,0.0224,-0.0089,0.0707,0.072,0.0715,0.0475,0,0.1111,-0.0414,NA,-0.0092,-0.0312,-0.0068,-0.0079,-0.0352,0,-0.0251,0.1313,0.4667,-0.0164,0.117,-0.0086,0.0118,0.0512,-0.0116,0.2031,0.1502,0.0156,0.1962,0.0101,0.0497,-0.0123,0.2013,0.154,0.0131,0.194,-0.0023,-0.0016,0.1241,0.3201,-0.0228,0.111,0.0594,0.0338,0.3333,-0.0214,0.0271,0.2229,0.3128,-1e-04,0.2104,0.1255,0.0399,-0.0102,0.121,0.1236,0.0252,reproduction,sperm
