start,scaffold.x,end.x,mid.x,dxy_Meadow_Lake,within,between,l_v_l_mean,l_v_m_mean,m_v_m_mean,mean_diff
48633,NC_045554.1,48633,48633,0.3225,0.000305574936263237,0.886993421652466,0.3515,0.312319444444444,0.26842,0.00235944444444441
52227,NW_022473632.1,52227,52227,0.4886,0.203295430414705,0.57368863947065,0.5034,0.477933333333333,0.411466666666667,0.0205
52633,NW_022473632.1,52633,52633,0.5,NA,NA,0.5,0.5,0.5,NA
52929,NW_022473632.1,52929,52929,0.0286,NA,NA,0.0350666666666667,0.0175333333333333,0,NA
52930,NW_022473632.1,52930,52930,0.0303,NA,NA,0.0350666666666667,0.0175333333333333,0,NA
52953,NW_022473632.1,52953,52953,0.0526,NA,NA,0.0769,0.0341777777777778,0,NA
54564,NW_022473899.1,54564,54564,NA,NA,NA,NA,0.3,0.44,NA
54602,NW_022473899.1,54602,54602,NA,NA,NA,NA,0.3833,0.4,NA
56020,NW_022473899.1,56020,56020,NA,NA,NA,NA,0.1,0.1,NA
56039,NW_022473899.1,56039,56039,NA,NA,NA,NA,0.214266666666667,0,NA
62414,NW_022473899.1,62414,62414,0.1097,0.161243469798651,0.660903375038671,0.126666666666667,0.0985583333333333,0.0712333333333333,0.00884722222222221
62433,NW_022473899.1,62433,62433,NA,NA,NA,0,0.25,0.42,NA
62450,NW_022473899.1,62450,62450,0.2703,0.480822777463493,0.933315975157254,0.319466666666667,0.28785,0.277166666666667,-0.00341666666666668
62467,NW_022473899.1,62467,62467,0.2961,0.642199442822073,0.891631884495003,0.349233333333333,0.324625,0.32145,-0.00608611111111113
62622,NW_022473899.1,62622,62622,0.4358,0.0324984649554744,0.932946888939371,0.346666666666667,0.430416666666667,0.4694,0.00192777777777781
62864,NW_022473899.1,62864,62864,0.2704,0.260987604047247,0.874713425901312,0.2549,0.218041666666667,0.19115,0.00564166666666666
62897,NW_022473899.1,62897,62897,0.1021,0.771746379763112,0.999530302862287,0.101533333333333,0.0925166666666667,0.0879833333333333,1.66666666666648e-05
73322,NW_022473598.1,73322,73322,0.4102,0.0202323631508485,0.745748713515785,0.4716,0.419516666666667,0.408283333333333,-0.00987222222222223
78361,NW_022473598.1,78361,78361,0.067,0.166992798528544,0.581508939671951,0.146666666666667,0.0825833333333333,0.01785,0.0217944444444444
82648,NW_022473598.1,82648,82648,0.2818,0.792651578664149,0.827745790404348,0.27,0.270283333333333,0.284333333333333,-0.00927222222222224
82695,NW_022473598.1,82695,82695,NA,NA,NA,NA,NA,NA,NA
90833,NW_022473598.1,90833,90833,NA,NA,NA,NA,NA,NA,NA
189212,NC_045555.1,189212,189212,0.1073,0.765910834804484,0.942412717733532,0.124266666666667,0.126547222222222,0.131113333333333,-0.00114277777777777
189216,NC_045555.1,189216,189216,0.0746,0.0137708243523038,0.999782541764916,0.07666,0.0548333333333333,0.033,3.33333333332742e-06
189273,NC_045555.1,189273,189273,0.0894,0.283335051277757,0.968185456344165,0.07666,0.0666416666666667,0.0576066666666667,-0.000491666666666668
191050,NC_045555.1,191050,191050,0.5119,0.131479829040147,0.555505253079665,0.49226,0.509866666666667,0.564133333333333,-0.01833
191460,NC_045555.1,191460,191460,0.0728,0.0155873604781903,0.998288572705478,0.05268,0.07145,0.0902666666666667,-2.33333333333335e-05
245814,NC_045552.1,245814,245814,0.314,7.63750609736048e-05,0.66550477910954,0.38342,0.304266666666667,0.195913333333333,0.0146
245823,NC_045552.1,245823,245823,0.0138,NA,NA,0.0151666666666667,0.00758333333333333,0,NA
245871,NC_045552.1,245871,245871,0.4403,2.28377422028081e-06,0.334200185350754,0.48152,0.440155555555556,0.360713333333333,0.0190388888888889
246277,NC_045552.1,246277,246277,0.4702,0.200005691529257,0.698555109309063,0.492893333333333,0.460438888888889,0.447126666666667,-0.00957111111111109
248465,NC_045552.1,248465,248465,0.0191,0.861483850083635,0.982860827712846,0.0151666666666667,0.0157888888888889,0.0166666666666667,-0.000127777777777775
263984,NC_045554.1,263984,263984,0.3524,0.258567404650114,0.837515055737855,0.392773333333333,0.362152777777778,0.343433333333333,-0.00595055555555557
266779,NC_045554.1,266779,266779,0.0428,0.832324224516713,0.957350919342563,0.05304,0.0544722222222222,0.0574133333333333,-0.000754444444444446
266852,NC_045554.1,266852,266852,0.0395,0.0719937786633579,0.984293555461448,0.0333133333333333,0.0478166666666667,0.0627666666666667,-0.000223333333333332
268582,NC_045545.1,268582,268582,0.3289,0.919178658476964,0.801983786392611,0.342693333333333,0.334736111111111,0.339173333333333,-0.00619722222222219
268625,NC_045545.1,268625,268625,0.365,0.213213290970628,0.791381661566806,0.41164,0.375519444444444,0.355986666666667,-0.00829388888888888
268631,NC_045545.1,268631,268631,0.1922,0.168979816130175,0.924612632560822,0.22476,0.198358333333333,0.17654,-0.00229166666666666
268658,NC_045545.1,268658,268658,0.3811,0.212713997860576,0.780737571391168,0.42126,0.387697222222222,0.370306666666667,-0.00808611111111107
268667,NC_045545.1,268667,268667,0.4364,0.843903536157486,0.589606098742775,0.461506666666667,0.449916666666667,0.470286666666667,-0.01598
275946,NC_045545.1,275946,275946,0.5031,0.829173868635072,0.632032692856828,0.499593333333333,0.50585,0.502606666666667,0.00475000000000003
278856,NC_045545.1,278856,278856,0.4868,0.554142244361894,0.553620768107259,0.502393333333333,0.488722222222222,0.490866666666667,-0.00790777777777779
278857,NC_045545.1,278857,278857,0.1162,0.518142088518671,0.952052758270485,0.107106666666667,0.112777777777778,0.120146666666667,-0.000848888888888885
278868,NC_045545.1,278868,278868,0.1551,0.400832344643335,0.913096570763983,0.192973333333333,0.175969444444444,0.16412,-0.0025772222222222
278963,NC_045545.1,278963,278963,0.1727,0.191018660620714,0.918905755191622,0.222686666666667,0.196008333333333,0.1745,-0.002585
280887,NC_045545.1,280887,280887,0.4522,0.642851237380658,0.781425626495147,0.46284,0.45595,0.454906666666667,-0.00292333333333333
280948,NC_045545.1,280948,280948,0.3792,0.114047408014951,0.8610687411477,0.343793333333333,0.362652777777778,0.388893333333333,-0.00369055555555559
280974,NC_045545.1,280974,280974,0.4351,0.0910002206566015,0.934715492514206,0.3995,0.416922222222222,0.43668,-0.00116777777777782
280991,NC_045545.1,280991,280991,0.1156,6.721633836315e-08,0.792543545859716,0.184166666666667,0.125413888888889,0.05762,0.00452055555555554
280996,NC_045545.1,280996,280996,0.2761,0.446479882165747,0.904347856927115,0.239873333333333,0.2478,0.260266666666667,-0.00227000000000002
281025,NC_045545.1,281025,281025,0.3521,0.703484295041689,0.86415346883799,0.34998,0.343361111111111,0.341913333333333,-0.00258555555555556
282507,NC_045545.1,282507,282507,0.3641,0.00402917992687079,0.859491906683602,0.411393333333333,0.374580555555556,0.331413333333333,0.00317722222222222
282546,NC_045545.1,282546,282546,0.4301,0.400547864547036,0.586816367869672,0.44614,0.451558333333333,0.495926666666667,-0.019475
282554,NC_045545.1,282554,282554,0.4819,0.31816436828142,0.485235191935174,0.484973333333333,0.489172222222222,0.522706666666667,-0.0146677777777777
282566,NC_045545.1,282566,282566,0.4088,0.610812719945502,0.694684971825507,0.40968,0.410041666666667,0.434646666666667,-0.0121216666666666
282569,NC_045545.1,282569,282569,0.4706,0.650744256616656,0.614371589786476,0.470466666666667,0.468197222222222,0.48268,-0.00837611111111114
282587,NC_045545.1,282587,282587,0.0449,NA,NA,0.1145,0.0603333333333333,0,NA
282605,NC_045545.1,282605,282605,0.4143,0.0798480303651226,0.900235334775837,0.455193333333333,0.429472222222222,0.40836,-0.0023044444444445
282617,NC_045545.1,282617,282617,0.1691,0.000225685723930811,0.913431625624775,0.242753333333333,0.181155555555556,0.11416,0.00269888888888889
282629,NC_045545.1,282629,282629,0.1568,0.510732630578784,0.922985462536774,0.162846666666667,0.150447222222222,0.14222,-0.00208611111111109
282637,NC_045545.1,282637,282637,0.477,0.466970016819746,0.806549312518274,0.4867,0.474205555555556,0.468713333333333,-0.00350111111111112
282650,NC_045545.1,282650,282650,0.3917,0.199505058023472,0.900421451999531,0.418626666666667,0.406275,0.39676,-0.00141833333333335
283284,NC_045545.1,283284,283284,0.502,0.66647656109305,0.221494239834348,0.49738,0.506025,0.500286666666667,0.0071916666666666
283290,NC_045545.1,283290,283290,0.2076,0.0715997898051001,0.941649581646947,0.286766666666667,0.258422222222222,0.233146666666667,-0.00153444444444445
283294,NC_045545.1,283294,283294,0.5103,0.841149805215285,0.676385840450789,0.519033333333333,0.51355,0.516373333333333,-0.00415333333333334
283299,NC_045545.1,283299,283299,0.491,0.610670428939035,0.518678134558777,0.49732,0.488458333333333,0.491573333333333,-0.00598833333333332
283347,NC_045545.1,283347,283347,0.5181,0.000436404981246247,0.919330029641509,0.554953333333333,0.509738888888889,0.4609,0.00181222222222222
283362,NC_045545.1,283362,283362,0.4905,0.720098429232454,0.449251038454308,0.489506666666667,0.482927777777778,0.495653333333333,-0.00965222222222223
283396,NC_045545.1,283396,283396,0.4929,0.537979647039149,0.593999951020364,0.4934,0.493125,0.49708,-0.00211500000000003
283408,NC_045545.1,283408,283408,0.4443,0.459747144854402,0.744052497503441,0.450633333333333,0.439541666666667,0.437193333333333,-0.00437166666666666
284319,NC_045545.1,284319,284319,0.2216,0.0176230606124782,0.99735574515895,0.2277,0.183575,0.13962,-8.50000000000017e-05
284334,NC_045545.1,284334,284334,0.4571,0.0115347182226465,0.843404063530531,0.445433333333333,0.463822222222222,0.478866666666667,0.00167222222222224
284388,NC_045545.1,284388,284388,0.4915,0.634946349375462,0.67993619529799,0.49206,0.489411111111111,0.489673333333333,-0.00145555555555554
284429,NC_045545.1,284429,284429,0.4787,0.426780660320595,0.814700281869811,0.48808,0.467638888888889,0.457746666666667,-0.00527444444444447
284467,NC_045545.1,284467,284467,0.4976,0.736253846230294,0.416202460908543,0.501466666666667,0.499722222222222,0.50278,-0.00240111111111113
284475,NC_045545.1,284475,284475,0.4908,0.118219499791346,0.929747915996918,0.49375,0.47634,0.4625,0.00134000000000001
286548,NC_045545.1,286548,286548,0.4875,0.165165341711556,0.735230555632378,0.489253333333333,0.480094444444444,0.475633333333333,-0.0023488888888889
286550,NC_045545.1,286550,286550,0.4754,0.444038480904742,0.643240395359057,0.47708,0.478386111111111,0.487993333333333,-0.00415055555555555
286559,NC_045545.1,286559,286559,0.137,0.525844008176331,0.927522338491125,0.15306,0.141672222222222,0.13404,-0.00187777777777778
286584,NC_045545.1,286584,286584,0.4982,0.480877766202167,0.552549417958043,0.500446666666667,0.497655555555556,0.497913333333333,-0.00152444444444444
286589,NC_045545.1,286589,286589,0.3388,0.905246440214078,0.840505384742847,0.3544,0.348788888888889,0.350993333333333,-0.00390777777777779
286592,NC_045545.1,286592,286592,0.3309,0.343678062776422,0.870823388436889,0.328166666666667,0.338033333333333,0.354013333333333,-0.00305666666666665
286602,NC_045545.1,286602,286602,0.3792,0.396641913594206,0.847031598862917,0.392513333333333,0.378922222222222,0.37182,-0.00324444444444444
286607,NC_045545.1,286607,286607,0.2806,0.151700753147068,0.913975906588372,0.235806666666667,0.254169444444444,0.277006666666667,-0.00223722222222222
286616,NC_045545.1,286616,286616,0.19,0.69237143862505,0.873274135397261,0.218573333333333,0.204955555555556,0.200973333333333,-0.00481777777777778
286619,NC_045545.1,286619,286619,0.1493,0.0369522805506166,0.976086213530484,0.127306666666667,0.153888888888889,0.181566666666667,-0.000547777777777786
286622,NC_045545.1,286622,286622,0.1519,0.373519437754951,0.945320965247862,0.18888,0.178672222222222,0.170446666666667,-0.000991111111111109
286627,NC_045545.1,286627,286627,0.4521,0.952176497442228,0.755464053728137,0.459553333333333,0.455994444444444,0.458633333333333,-0.00309888888888893
286630,NC_045545.1,286630,286630,0.5008,0.607567765599552,0.701876850507857,0.50082,0.501038888888889,0.504866666666667,-0.00180444444444439
286681,NC_045545.1,286681,286681,0.5017,0.0597586424367523,0.182237700186934,0.480673333333333,0.500963888888889,0.502366666666667,0.00944388888888886
287534,NC_045545.1,287534,287534,0.1908,0.175407999029702,0.92524020484356,0.158286666666667,0.180625,0.207726666666667,-0.00238166666666664
287587,NC_045545.1,287587,287587,0.4864,7.92182142702108e-05,0.456363355646785,0.478746666666667,0.48915,0.495293333333333,0.00212999999999997
287627,NC_045545.1,287627,287627,0.4094,0.501748601753876,0.864562830065721,0.411593333333333,0.405641666666667,0.402906666666667,-0.00160833333333332
287636,NC_045545.1,287636,287636,0.4916,0.263083325987933,0.816256468241838,0.49504,0.488805555555556,0.4852,-0.00131444444444445
287638,NC_045545.1,287638,287638,0.4052,0.00358486711221259,0.916813894069718,0.361366666666667,0.390919444444444,0.41762,0.00142611111111107
287674,NC_045545.1,287674,287674,0.4958,0.271347240979665,0.500012083443775,0.500426666666667,0.499111111111111,0.492813333333333,0.00249111111111111
287681,NC_045545.1,287681,287681,0.0388,0.0108220757376786,0.995635254364919,0.0166666666666667,0.0411111111111111,0.0654133333333333,7.11111111111121e-05
287689,NC_045545.1,287689,287689,0.4982,0.359312615695692,0.746690251614077,0.499813333333333,0.498033333333333,0.494213333333333,0.00101999999999997
290702,NC_045545.1,290702,290702,0.2928,0.00434065107572626,0.947066879901532,0.3332,0.296238888888889,0.256833333333333,0.00122222222222224
290712,NC_045545.1,290712,290712,0.4985,0.0071537635555349,0.724758549986895,0.501826666666667,0.498366666666667,0.493186666666667,0.000860000000000027
290720,NC_045545.1,290720,290720,0.3276,3.46378266057804e-07,0.703473897093162,0.366213333333333,0.329355555555556,0.28398,0.00425888888888892
290762,NC_045545.1,290762,290762,0.1482,0.253014679730844,0.951347417228222,0.187153333333333,0.174486111111111,0.163573333333333,-0.000877222222222224
290784,NC_045545.1,290784,290784,0.4699,0.00189085662885333,0.444293237084017,0.481346666666667,0.461325,0.426173333333333,0.00756499999999999
293413,NC_045545.1,293413,293413,0.4234,0.0193784944742269,0.93972761185138,0.41908,0.444188888888889,0.467213333333333,0.00104222222222222
293461,NC_045545.1,293461,293461,0.4302,0.187656348995956,0.781009889196414,0.406006666666667,0.417513888888889,0.439153333333333,-0.0050661111111111
293498,NC_045545.1,293498,293498,0.3753,0.00102561498715831,0.770218284459962,0.413413333333333,0.381094444444444,0.34092,0.00392777777777781
293511,NC_045545.1,293511,293511,0.4879,0.611940824570797,0.645875364806839,0.485426666666667,0.479225,0.48006,-0.00351833333333329
294490,NC_045545.1,294490,294490,0.4785,7.21288086702423e-06,0.353410284925206,0.463406666666667,0.486097222222222,0.497553333333333,0.00561722222222222
294497,NC_045545.1,294497,294497,0.3878,0.390229415819739,0.858055167846734,0.384853333333333,0.372852777777778,0.3663,-0.00272388888888891
294511,NC_045545.1,294511,294511,0.1726,0.246888351257463,0.918384982780318,0.148093333333333,0.1674,0.192086666666667,-0.00269
294512,NC_045545.1,294512,294512,0.4984,0.544756495480737,0.895576110935403,0.50046,0.498094444444444,0.496746666666667,-0.000508888888888892
294517,NC_045545.1,294517,294517,0.4207,0.0429542451998418,0.994702280740532,0.454113333333333,0.428663888888889,0.403433333333333,-0.00010944444444444
294554,NC_045545.1,294554,294554,0.4885,0.12669964493344,0.7227549495124,0.476133333333333,0.493722222222222,0.52646,-0.00757444444444438
294560,NC_045545.1,294560,294560,0.461,0.141008673116435,0.713603050980549,0.436366666666667,0.455997222222222,0.495506666666667,-0.00993944444444445
294566,NC_045545.1,294566,294566,0.3024,0.811360888143439,0.891500188071664,0.324513333333333,0.3201,0.3196,-0.00195666666666666
294567,NC_045545.1,294567,294567,0.2999,0.926344257817767,0.892441423156502,0.321493333333333,0.318619444444444,0.3196,-0.00192722222222219
294572,NC_045545.1,294572,294572,0.4805,0.0380147233425146,0.720030288696998,0.49862,0.485266666666667,0.463953333333333,0.00398000000000004
294584,NC_045545.1,294584,294584,0.4879,0.68868398454374,0.561021444381929,0.49384,0.488105555555556,0.49024,-0.00393444444444441
294596,NC_045545.1,294596,294596,0.1594,0.320109782166824,0.919281214191128,0.145213333333333,0.160358333333333,0.180466666666667,-0.00248166666666669
294624,NC_045545.1,294624,294624,0.4885,0.574584131866639,0.624299693236296,0.48484,0.484244444444444,0.490426666666667,-0.00338888888888889
295736,NC_045545.1,295736,295736,0.4881,0.344389061637643,0.651865150045446,0.486706666666667,0.488041666666667,0.49444,-0.00253166666666671
295785,NC_045545.1,295785,295785,0.1735,0.452821008764737,0.906143271180707,0.158966666666667,0.1698,0.186633333333333,-0.003
295801,NC_045545.1,295801,295801,0.2906,0.0635020820919344,0.952814585961545,0.254646666666667,0.274297222222222,0.295813333333333,-0.000932777777777727
295816,NC_045545.1,295816,295816,0.1296,0.143136137668507,0.960104196818814,0.1447,0.126872222222222,0.110666666666667,-0.000811111111111124
295822,NC_045545.1,295822,295822,0.2081,0.850081033674796,0.927178725783466,0.228113333333333,0.224830555555556,0.22418,-0.0013161111111111
299729,NC_045545.1,299729,299729,0.1816,0.711686045926648,0.894642365058167,0.21302,0.203625,0.200466666666667,-0.00311833333333333
299750,NC_045545.1,299750,299750,0.4164,0.0533285514766026,0.911296131771889,0.444513333333333,0.420958333333333,0.400973333333333,-0.00178500000000004
299751,NC_045545.1,299751,299751,0.4164,0.0533285514766026,0.911296131771889,0.444513333333333,0.420958333333333,0.400973333333333,-0.00178500000000004
299756,NC_045545.1,299756,299756,0.2294,0.00305010764988241,0.919822956326277,0.288706666666667,0.245247222222222,0.19774,0.00202388888888888
299799,NC_045545.1,299799,299799,0.4966,0.211938809075737,0.666780760569167,0.493233333333333,0.495525,0.501793333333333,-0.00198833333333331
299825,NC_045545.1,299825,299825,0.1084,0.091721732666465,0.972150940229837,0.113513333333333,0.0943944444444444,0.0763466666666667,-0.000535555555555553
299850,NC_045545.1,299850,299850,0.1683,0.110137987981655,0.917761366504336,0.185106666666667,0.221275,0.264233333333333,-0.00339500000000001
300418,NC_045545.1,300418,300418,0.5214,0.498334625862585,0.646903088519524,0.51802,0.518158333333333,0.52312,-0.00241166666666659
300446,NC_045545.1,300446,300446,0.4627,0.964086054279666,0.623183576196983,0.46182,0.454797222222222,0.462813333333333,-0.00751944444444441
300536,NC_045545.1,300536,300536,0.333,0.00162722607867463,0.913577617072364,0.341366666666667,0.3101,0.275813333333333,0.00151000000000001
302070,NC_045545.1,302070,302070,0.337,0.93308519389196,0.783310558075252,0.338366666666667,0.327116666666667,0.33408,-0.00910666666666665
302108,NC_045545.1,302108,302108,0.4817,0.467849044014181,0.891908130476002,0.499593333333333,0.491208333333333,0.48628,-0.00172833333333333
302172,NC_045545.1,302172,302172,0.1823,0.389791230499299,0.924684158267091,0.183413333333333,0.168458333333333,0.157453333333333,-0.001975
302208,NC_045545.1,302208,302208,0.4924,0.0944484166783442,0.851918546809622,0.473866666666667,0.482763888888889,0.495,-0.00166944444444445
303420,NC_045545.1,303420,303420,0.2649,0.0254756708329912,0.978519314192065,0.330633333333333,0.287911111111111,0.2466,-0.00070555555555557
303426,NC_045545.1,303426,303426,0.4383,0.33447079905515,0.638474539759989,0.454046666666667,0.458883333333333,0.482353333333333,-0.0093166666666667
303428,NC_045545.1,303428,303428,0.3847,0.915313506261444,0.78287848962181,0.407593333333333,0.4014,0.404873333333333,-0.00483333333333336
303432,NC_045545.1,303432,303432,0.5,0.229338074280171,0.663244630471418,0.493513333333333,0.496330555555556,0.50506,-0.0029561111111111
303522,NC_045545.1,303522,303522,0.5068,0.183594767920178,0.707905073911157,0.51466,0.501444444444444,0.495733333333333,-0.00375222222222216
303537,NC_045545.1,303537,303537,0.4915,0.631544559508013,0.482785420504101,0.497386666666667,0.49525,0.502553333333333,-0.00472
312250,NC_045545.1,312250,312250,0.4996,0.805138015314517,0.436072976821618,0.504693333333333,0.496791666666667,0.50948,-0.010295
312275,NC_045545.1,312275,312275,0.439,0.107437046547896,0.973956838365075,0.470626666666667,0.445694444444444,0.41954,0.000611111111111118
312301,NC_045545.1,312301,312301,0.3904,0.14532528701153,0.872993373665982,0.44754,0.417205555555556,0.394533333333333,-0.00383111111111112
312303,NC_045545.1,312303,312303,0.0714,0.0659572142460672,0.977078955306439,0.0991866666666667,0.0781666666666667,0.05804,-0.000446666666666679
312325,NC_045545.1,312325,312325,0.5,0.507334251192557,0.431036592363858,0.500953333333333,0.500086111111111,0.50612,-0.00345055555555551
312335,NC_045545.1,312335,312335,0.0757,0.146614233079609,0.970891289588221,0.0653066666666667,0.078975,0.0936333333333333,-0.000494999999999995
312363,NC_045545.1,312363,312363,0.2969,0.561750659225402,0.844687339387137,0.28056,0.286386111111111,0.30248,-0.00513388888888888
312368,NC_045545.1,312368,312368,0.4913,0.146350828141892,0.898534295855675,0.497726666666667,0.492377777777778,0.488153333333333,-0.000562222222222186
312369,NC_045545.1,312369,312369,0.2109,0.234975995777803,0.906554466341043,0.19944,0.217313888888889,0.240913333333333,-0.00286277777777777
312378,NC_045545.1,312378,312378,0.3212,0.00129781718660542,0.899562511937662,0.25452,0.304363888888889,0.349006666666667,0.00260055555555555
313269,NC_045545.1,313269,313269,0.4861,0.00592694274455524,0.117201234621245,0.4994,0.483908333333333,0.4156,0.0264083333333333
313277,NC_045545.1,313277,313277,0.4889,0.265512317948956,0.548484001805532,0.480073333333333,0.488452777777778,0.528633333333333,-0.0159005555555555
313293,NC_045545.1,313293,313293,0.1358,0.000700597399978116,0.915553730654493,0.194986666666667,0.146836111111111,0.0944533333333333,0.00211611111111112
313308,NC_045545.1,313308,313308,0.5419,0.1824969647246,0.724320128081274,0.626506666666667,0.571627777777778,0.54432,-0.0137855555555556
313328,NC_045545.1,313328,313328,0.558,0.975216847638611,0.930904321443386,0.556733333333333,0.553677777777778,0.55534,-0.0023588888888888
313329,NC_045545.1,313329,313329,0.4812,0.0350127783524361,0.780383564338592,0.419446666666667,0.483097142857143,0.52646,0.0101438095238095
313340,NC_045545.1,313340,313340,0.2475,0.0171959375422936,0.938049233185765,0.29796,0.247072222222222,0.191933333333333,0.00212555555555555
313369,NC_045545.1,313369,313369,0.4003,0.0885768752954111,0.874510900391716,0.48625,0.396986206896552,0.302083333333333,0.0111907523510972
313371,NC_045545.1,313371,313371,0.5,0.53631988669712,0.565611732643155,0.505045454545455,0.495726923076923,0.55556,-0.0333730769230769
313373,NC_045545.1,313373,313373,0.4931,0.307545968822537,0.884098989393511,0.54999,0.515288888888889,0.49285,-0.00613111111111109
313425,NC_045545.1,313425,313425,0.4386,0.881272545605902,0.59961233865131,0.493792307692308,0.45235625,0.477272727272727,-0.0338645833333333
350715,NC_045545.1,350715,350715,0.375,0.269421057692119,0.832124107759593,0.373273333333333,0.384127777777778,0.402853333333333,-0.00393555555555553
350723,NC_045545.1,350723,350723,0.479,0.217143141324894,0.588853021956152,0.48024,0.481694444444444,0.491653333333333,-0.00425222222222227
350789,NC_045545.1,350789,350789,0.5004,0.779676344410901,0.945350504440683,0.50452,0.502963333333333,0.50195,-0.000528666666666733
350797,NC_045545.1,350797,350797,0.1536,0.0479511735949116,0.803563977878465,0.129486666666667,0.149486666666667,0.17005,0.00377466666666665
350819,NC_045545.1,350819,350819,0.2277,0.875395858101391,0.901767452298097,0.219126666666667,0.213991666666667,0.214146666666667,-0.00264500000000001
350869,NC_045545.1,350869,350869,0.1417,0.398549150436256,0.92439901290195,0.155393333333333,0.137219444444444,0.123793333333333,-0.00237388888888887
350870,NC_045545.1,350870,350870,0.1202,0.145963979015463,0.955638527316426,0.0923866666666667,0.111327777777778,0.132393333333333,-0.00106222222222223
413046,NC_045552.1,413046,413046,0.2407,0.92216110007373,0.90159252401964,0.236386666666667,0.235372222222222,0.239106666666667,-0.00237444444444443
413076,NC_045552.1,413076,413076,0.2378,0.0304109829579734,0.715087184827481,0.214213333333333,0.29058,0.36733,0.01512
413142,NC_045552.1,413142,413142,0.2789,0.0180189451351986,0.982929477246312,0.27244,0.325669444444444,0.380233333333333,-0.000667222222222208
413178,NC_045552.1,413178,413178,0.1694,0.000412716111292143,0.776077737013256,0.0904,0.217663888888889,0.319846666666667,0.0125405555555556
413581,NC_045552.1,413581,413581,0.1319,0.350980382239265,0.913939160596027,0.115366666666667,0.132119444444444,0.1551,-0.00311388888888889
413808,NC_045552.1,413808,413808,0.0303,NA,NA,0.0454666666666667,0.0230166666666667,0,NA
413828,NC_045552.1,413828,413828,0.0465,NA,NA,0.0666666666666667,0.0333333333333333,0,NA
413861,NC_045552.1,413861,413861,0.0901,0.00299733922341001,0.969167905778973,0.1419,0.103697222222222,0.0640933333333333,0.000700555555555551
413916,NC_045552.1,413916,413916,0.0784,4.19676860141902e-05,0.893514424949252,0.110886666666667,0.0631277777777778,0.0111,0.00213444444444445
