INFO,scaffold,start,end,mid,sites,pi_Meadow,pi_Lake,dxy_Meadow_Lake,Fst_Meadow_Lake,Category_I,Category_2
ATP5F1C,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
ATP5F1D,NC_045541.1,175086963,175086963,175086963,1,0.1917,0.0702,0.1354,0.0149,oxphos,ETC complex v
ATP5F1D,NC_045541.1,175086965,175086965,175086965,1,0.4872,0.4643,0.5236,0.0478,oxphos,ETC complex v
ATP5F1D,NC_045541.1,175082540,175082540,175082540,1,0.3472,0.1768,0.2764,0.027,oxphos,ETC complex v
ATP5F1D,NC_045541.1,175086971,175086971,175086971,1,0,0.0449,0.0227,-0.0879,oxphos,ETC complex v
ATP5F1E,NC_045545.1,86271423,86271423,86271423,1,0.0193,0.0275,0.0233,-0.0022,oxphos,ETC complex v
ATP5MC2,NC_045542.1,22466409,22466409,22466409,1,0.4496,0.4583,0.4521,-0.002,oxphos,ETC complex v
ATP5ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
ATP5MF,NC_045554.1,4630405,4630405,4630405,1,0.0901,0.0248,0.0582,-0.0451,oxphos,ETC complex v
ATP5PB,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
ATP5PD,NC_045542.1,52930044,52930044,52930044,1,0.1582,0.0997,0.1296,4e-04,oxphos,ETC complex v
ATP6AP1,NC_045542.1,9510828,9510828,9510828,1,0.4913,0.3937,0.463,0.0159,oxphos,ETC complex v
ATP6AP1,NC_045542.1,9510844,9510844,9510844,1,0.2353,0.2972,0.2663,0.0073,oxphos,ETC complex v
ATP6V1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
ATP6V1B2,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
ATP6V1C1,NC_045548.1,56988266,56988266,56988266,1,0.3142,0.2205,0.2697,-0.0013,oxphos,ETC complex v
ATP6V1E1,NC_045547.1,14670301,14670301,14670301,1,0.4744,0.4939,0.5153,0.0309,oxphos,ETC complex v
ATP6V1H,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxphos,ETC complex v
AVPR2,NC_045542.1,7917286,7917286,7917286,1,0.0585,0.0723,0.0651,-0.001,behavior,
B3GAT3,NC_045557.1,6277449,6277449,6277449,1,0.0943,0.15,0.1223,0.0164,random,
B3GAT3,NC_045557.1,6274182,6274182,6274182,1,0.1016,0.1626,0.1327,0.001,random,
BTBD16,NC_045550.1,8677954,8677954,8677954,1,0.4604,0.477,0.4658,-0.0019,reproduction,sperm
CA5A,NC_045554.1,47995058,47995058,47995058,1,0.5024,0.5,0.4987,-0.0026,random,
CA5A,NC_045554.1,47995062,47995062,47995062,1,0.5029,0.5007,0.4996,-0.0023,random,
CA5A,NC_045554.1,47998884,47998884,47998884,1,0.3398,0.3873,0.364,7e-04,random,
CA5A,NC_045554.1,48004480,48004480,48004480,1,0.4881,0.2364,0.4331,0.0693,random,
CA5A,NC_045554.1,47995082,47995082,47995082,1,0.503,0.4952,0.4993,-4e-04,random,
CA5A,NC_045554.1,47995133,47995133,47995133,1,0.503,0.4982,0.5,-7e-04,random,
CA5A,NC_045554.1,48010303,48010303,48010303,1,0.41,0.4831,0.4582,0.013,random,
CASP3,NC_045549.1,48821211,48821211,48821211,1,0.1516,0.2732,0.2171,0.0328,p53,
CASP9,NC_045555.1,189216,189216,189216,1,0.0469,0.1017,0.0746,0.0244,p53,
CASP9,NC_045555.1,189273,189273,189273,1,0.078,0.1017,0.0894,0.0065,p53,
CASP9,NC_045555.1,189212,189212,189212,1,0.0901,0.1253,0.1073,0.0071,p53,
CASP9,NC_045555.1,191050,191050,191050,1,0.5603,0.4567,0.5119,-0.0134,p53,
CASP9,NC_045555.1,191460,191460,191460,1,0.0928,0.053,0.0728,-0.0185,p53,
CATSPER1,NA,NA,NA,NA,NA,NA,NA,NA,NA,reproduction,sperm
CATSPER2,NC_045548.1,75263536,75263536,75263536,1,0.4065,0.4227,0.413,-0.0019,reproduction,sperm
CATSPER2,NC_045548.1,75263761,75263761,75263761,1,0.4065,0.4227,0.413,-0.0019,reproduction,sperm
CATSPER2,NC_045548.1,75263490,75263490,75263490,1,0.4835,0.502,0.4973,0.0045,reproduction,sperm
CATSPER2,NC_045548.1,75264318,75264318,75264318,1,0.4065,0.4227,0.413,-0.0019,reproduction,sperm
CATSPER2,NC_045548.1,75264298,75264298,75264298,1,0.4065,0.4227,0.413,-0.0019,reproduction,sperm
CATSPER2,NC_045548.1,75264166,75264166,75264166,1,0,0.0802,0.0417,0.0175,reproduction,sperm
CATSPER3,NC_045542.1,86001978,86001978,86001978,1,0.277,0.0795,0.1927,0.0377,reproduction,sperm
CATSPER4,NA,NA,NA,NA,NA,NA,NA,NA,NA,reproduction,sperm
CATSPERG,NC_045552.1,2892124,2892124,2892124,1,0.1993,0.2913,0.2483,0.0058,reproduction,sperm
CATSPERG,NC_045552.1,2892112,2892112,2892112,1,0.1993,0.2852,0.2447,0.0048,reproduction,sperm
CATSPERG,NC_045552.1,2890906,2890906,2890906,1,0.2073,0.2997,0.2564,0.0071,reproduction,sperm
CATSPERG,NC_045552.1,2890912,2890912,2890912,1,0.2073,0.2997,0.2564,0.0071,reproduction,sperm
CATSPERG,NC_045552.1,2892063,2892063,2892063,1,0.1951,0.2913,0.2465,0.0085,reproduction,sperm
CATSPERG,NC_045552.1,2890856,2890856,2890856,1,0.2483,0.351,0.3047,0.0085,reproduction,sperm
CATSPERG,NC_045552.1,2893975,2893975,2893975,1,0.3842,0.4227,0.4034,4e-04,reproduction,sperm
CATSPERG,NC_045552.1,2893980,2893980,2893980,1,0.2069,0.2934,0.2527,0.0041,reproduction,sperm
CATSPERG,NC_045552.1,2893982,2893982,2893982,1,0.2086,0.2934,0.2534,0.0046,reproduction,sperm
CATSPERG,NC_045552.1,2892076,2892076,2892076,1,0.1993,0.2913,0.2483,0.0058,reproduction,sperm
CATSPERG,NC_045552.1,2894907,2894907,2894907,1,0.2114,0.2556,0.2331,0.0015,reproduction,sperm
CATSPERG,NC_045552.1,2906216,2906216,2906216,1,0.2295,0.2945,0.2626,0.0033,reproduction,sperm
CATSPERG,NC_045552.1,2918552,2918552,2918552,1,0.2028,0.2913,0.2497,0.0069,reproduction,sperm
CATSPERG,NC_045552.1,2893974,2893974,2893974,1,0.2069,0.2934,0.2527,0.0041,reproduction,sperm
CATSPERG,NC_045552.1,2893989,2893989,2893989,1,0.2086,0.2934,0.2534,0.0046,reproduction,sperm
CC2D1A,NC_045542.1,4216751,4216751,4216751,1,0.3857,0.1976,0.3124,0.0381,random,
CC2D1A,NC_045542.1,4245343,4245343,4245343,1,0.0362,0.0085,0.0224,-0.0072,random,
CC2D1A,NC_045542.1,4218555,4218555,4218555,1,0.502,0.4331,0.5055,0.0395,random,
CC2D1A,NC_045542.1,4216682,4216682,4216682,1,0.5007,0.3994,0.4865,0.0392,random,
CC2D1A,NC_045542.1,4236059,4236059,4236059,1,0.2092,0.1964,0.2013,-0.0019,random,
CC2D1A,NC_045542.1,4238615,4238615,4238615,1,0.1777,0.1778,0.1769,-0.0024,random,
CC2D1A,NC_045542.1,4240437,4240437,4240437,1,0.476,0.4058,0.4494,0.0086,random,
CC2D1A,NC_045542.1,4245251,4245251,4245251,1,0.0476,0.0093,0.0287,0.0052,random,
CC2D1A,NC_045542.1,4218669,4218669,4218669,1,0.049,0.0824,0.0657,-1e-04,random,
CC2D1A,NC_045542.1,4218676,4218676,4218676,1,0.049,0.0736,0.0612,-0.0011,random,
CC2D1A,NC_045542.1,4223842,4223842,4223842,1,0.4899,0.4727,0.4808,-6e-04,random,
CC2D1A,NC_045542.1,4218597,4218597,4218597,1,0.0568,0.0895,0.0731,-0.0015,random,
CC2D1A,NC_045542.1,4223866,4223866,4223866,1,0.4935,0.494,0.4914,-0.0023,random,
CC2D1A,NC_045542.1,4223930,4223930,4223930,1,0,0.1054,0.0556,0.0292,random,
CC2D1A,NC_045542.1,4225236,4225236,4225236,1,0.1188,0.1064,0.1121,-0.0019,random,
CC2D1A,NC_045542.1,4235957,4235957,4235957,1,0.1359,0.1155,0.1252,-9e-04,random,
CC2D1A,NC_045542.1,4236052,4236052,4236052,1,0.024,0.0229,0.0233,-0.0029,random,
CC2D1A,NC_045542.1,4245373,4245373,4245373,1,0.4227,0.3723,0.3988,4e-04,random,
CC2D1A,NC_045542.1,4245380,4245380,4245380,1,0.4189,0.3701,0.3955,3e-04,random,
CC2D1A,NC_045542.1,4245389,4245389,4245389,1,0.4267,0.3903,0.4083,-2e-04,random,
CC2D1A,NC_045542.1,4240463,4240463,4240463,1,0.3216,0.2392,0.2829,0.0044,random,
CC2D1A,NC_045542.1,4243676,4243676,4243676,1,0.0365,0.0442,0.0402,-0.0031,random,
CC2D1A,NC_045542.1,4245209,4245209,4245209,1,0.2431,0.1054,0.1807,0.0187,random,
CC2D1A,NC_045542.1,4245223,4245223,4245223,1,0.2501,0.3032,0.2769,4e-04,random,
CC2D1A,NC_045542.1,4223863,4223863,4223863,1,0.4935,0.494,0.4914,-0.0023,random,
CC2D1A,NC_045542.1,4245247,4245247,4245247,1,0.084,0,0.0437,0.0261,random,
CC2D1A,NC_045542.1,4245411,4245411,4245411,1,0.4267,0.3903,0.4083,-2e-04,random,
CC2D1A,NC_045542.1,4245416,4245416,4245416,1,0.0383,0,0.0194,0.0087,random,
CC2D1A,NC_045542.1,4245353,4245353,4245353,1,0.0383,0.0365,0.0372,-0.0023,random,
CC2D1A,NC_045542.1,4245366,4245366,4245366,1,0.4227,0.3723,0.3988,4e-04,random,
CC2D1A,NC_045542.1,4190930,4190930,4190930,1,0.0683,0,0.0351,-0.0286,random,
CC2D1A,NC_045542.1,4247831,4247831,4247831,1,0.0383,0.0369,0.0374,-0.0023,random,
CC2D1A,NC_045542.1,4250537,4250537,4250537,1,0.3325,0.439,0.3967,0.0165,random,
CC2D1A,NC_045542.1,4250542,4250542,4250542,1,0.4894,0.502,0.4977,0.0022,random,
CC2D1A,NC_045542.1,4245391,4245391,4245391,1,0.0383,0.0365,0.0372,-0.0023,random,
CC2D1A,NC_045542.1,4245398,4245398,4245398,1,0.4108,0.372,0.3912,-2e-04,random,
CC2D1A,NC_045542.1,4245401,4245401,4245401,1,0.0383,0.0365,0.0372,-0.0023,random,
CC2D1A,NC_045542.1,4245403,4245403,4245403,1,0.4267,0.3903,0.4083,-2e-04,random,
CC2D1A,NC_045542.1,4245224,4245224,4245224,1,0.0383,0.0365,0.0372,-0.0023,random,
CC2D1A,NC_045542.1,4245463,4245463,4245463,1,0.3405,0.4271,0.3903,0.0095,random,
CC2D1A,NC_045542.1,4245556,4245556,4245556,1,0.084,0,0.0437,0.0215,random,
CC2D1A,NC_045542.1,4245434,4245434,4245434,1,0.0383,0,0.0194,0.0087,random,
CC2D1A,NC_045542.1,4245449,4245449,4245449,1,0.4277,0.3745,0.4028,0.0015,random,
CC2D1A,NC_045542.1,4245410,4245410,4245410,1,0.1103,0.0184,0.0664,0.0171,random,
CCKAR,NC_045549.1,68411564,68411564,68411564,1,0.2549,0.29,0.2719,-9e-04,behavior,
CCKAR,NC_045549.1,68411607,68411607,68411607,1,0.2568,0.279,0.267,-0.002,behavior,
CCKAR,NC_045549.1,68407081,68407081,68407081,1,0,0.0365,0.0185,0.0105,behavior,
CCKAR,NC_045549.1,68407130,68407130,68407130,1,0.3411,0.3611,0.3499,-0.0019,behavior,
CCKAR,NC_045549.1,68407143,68407143,68407143,1,0.3643,0.3598,0.3604,-0.0023,behavior,
CCKAR,NC_045549.1,68407046,68407046,68407046,1,0.1089,0.1487,0.1288,-6e-04,behavior,
CCKAR,NC_045549.1,68411484,68411484,68411484,1,0.4955,0.5012,0.4975,-9e-04,behavior,
CCKAR,NC_045549.1,68407153,68407153,68407153,1,0.3643,0.3624,0.3617,-0.0024,behavior,
CCKAR,NC_045549.1,68411682,68411682,68411682,1,0.2902,0.2909,0.2892,-0.0023,behavior,
CCN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,IILS,
CCND1,NC_045541.1,99319108,99319108,99319108,1,0.0193,0.0543,0.0369,0.0016,PI3K,
CCND1,NC_045541.1,99319075,99319075,99319075,1,0.0097,0.0275,0.0186,-7e-04,PI3K,
CCS,NC_045557.1,9245117,9245117,9245117,1,0,0.0369,0.0187,0.0061,stress,antioxidant
CCS,NC_045557.1,9246067,9246067,9246067,1,0.4568,0.4904,0.5229,0.0495,stress,antioxidant
CCS,NC_045557.1,9246075,9246075,9246075,1,0.0435,0.0169,0.0302,0.0023,stress,antioxidant
CD74,NC_045542.1,91180744,91180744,91180744,1,0.1674,0.0349,0.1062,0.0289,immune,
CD74,NC_045542.1,91186229,91186229,91186229,1,0.1792,0.1911,0.1842,-0.002,immune,
CD74,NC_045542.1,91190675,91190675,91190675,1,0.3927,0.2497,0.3343,0.0225,immune,
CD74,NC_045542.1,91180878,91180878,91180878,1,0.2868,0.1888,0.2414,0.0072,immune,
CD74,NC_045542.1,91180816,91180816,91180816,1,0.2886,0.2055,0.2494,0.0046,immune,
CD74,NC_045542.1,91180879,91180879,91180879,1,0.2868,0.1902,0.2419,0.0078,immune,
CD74,NC_045542.1,91180860,91180860,91180860,1,0.1547,0.1616,0.1575,-0.0021,immune,
CD74,NC_045542.1,91190683,91190683,91190683,1,0.2641,0.2317,0.2473,-6e-04,immune,
CDK1,NA,NA,NA,NA,NA,NA,NA,NA,NA,p53,
CDKN1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,p53,
CFH,NC_045545.1,268625,268625,268625,1,0.3854,0.3471,0.365,-0.0051,random,transcriptome_FastEvolving
CFH,NC_045545.1,268582,268582,268582,1,0.3464,0.3144,0.3289,-0.0051,random,transcriptome_FastEvolving
CFH,NC_045545.1,268631,268631,268631,1,0.2147,0.171,0.1922,-0.0097,random,transcriptome_FastEvolving
CFH,NC_045545.1,281025,281025,281025,1,0.3566,0.3529,0.3521,-0.0041,random,transcriptome_FastEvolving
CFH,NC_045545.1,282507,282507,282507,1,0.331,0.3953,0.3641,0.0066,random,transcriptome_FastEvolving
CFH,NC_045545.1,282546,282546,282546,1,0.4221,0.4429,0.4301,-0.0011,random,transcriptome_FastEvolving
CFH,NC_045545.1,280996,280996,280996,1,0.3058,0.2465,0.2761,-0.0049,random,transcriptome_FastEvolving
CFH,NC_045545.1,282566,282566,282566,1,0.4021,0.4207,0.4088,-0.0013,random,transcriptome_FastEvolving
CFH,NC_045545.1,282569,282569,282569,1,0.4616,0.4827,0.4706,-2e-04,random,transcriptome_FastEvolving
CFH,NC_045545.1,282587,282587,282587,1,0,0.0863,0.0449,0.0712,random,transcriptome_FastEvolving
CFH,NC_045545.1,282554,282554,282554,1,0.4873,0.4837,0.4819,-0.004,random,transcriptome_FastEvolving
CFH,NC_045545.1,282617,282617,282617,1,0.134,0.2036,0.1691,0.0193,random,transcriptome_FastEvolving
CFH,NC_045545.1,282629,282629,282629,1,0.1058,0.2032,0.1568,0.0338,random,transcriptome_FastEvolving
CFH,NC_045545.1,282637,282637,282637,1,0.4406,0.4948,0.477,0.0144,random,transcriptome_FastEvolving
CFH,NC_045545.1,282650,282650,282650,1,0.3882,0.4013,0.3917,-0.0016,random,transcriptome_FastEvolving
CFH,NC_045545.1,283284,283284,283284,1,0.5031,0.501,0.502,-1e-04,random,transcriptome_FastEvolving
CFH,NC_045545.1,283290,283290,283290,1,0.1847,0.2322,0.2076,0.0049,random,transcriptome_FastEvolving
CFH,NC_045545.1,283294,283294,283294,1,0.5192,0.5087,0.5103,-0.0044,random,transcriptome_FastEvolving
CFH,NC_045545.1,283299,283299,283299,1,0.5003,0.4857,0.491,-0.0029,random,transcriptome_FastEvolving
CFH,NC_045545.1,283347,283347,283347,1,0.4657,0.5618,0.5181,0.009,random,transcriptome_FastEvolving
CFH,NC_045545.1,283362,283362,283362,1,0.4992,0.4902,0.4905,-0.0053,random,transcriptome_FastEvolving
CFH,NC_045545.1,283396,283396,283396,1,0.5003,0.4929,0.4929,-0.004,random,transcriptome_FastEvolving
CFH,NC_045545.1,283408,283408,283408,1,0.4329,0.4602,0.4443,-0.0011,random,transcriptome_FastEvolving
CFH,NC_045545.1,282605,282605,282605,1,0.4044,0.4287,0.4143,-0.0019,random,transcriptome_FastEvolving
CFH,NC_045545.1,284334,284334,284334,1,0.4715,0.4459,0.4571,-0.0038,random,transcriptome_FastEvolving
CFH,NC_045545.1,284388,284388,284388,1,0.4988,0.491,0.4915,-0.0036,random,transcriptome_FastEvolving
CFH,NC_045545.1,284429,284429,284429,1,0.4914,0.4737,0.4787,-0.005,random,transcriptome_FastEvolving
CFH,NC_045545.1,284467,284467,284467,1,0.5056,0.5035,0.4976,-0.007,random,transcriptome_FastEvolving
CFH,NC_045545.1,284475,284475,284475,1,0.4957,0.5078,0.4908,-0.0125,random,transcriptome_FastEvolving
CFH,NC_045545.1,286548,286548,286548,1,0.4857,0.4946,0.4875,-0.0021,random,transcriptome_FastEvolving
CFH,NC_045545.1,286550,286550,286550,1,0.4812,0.4764,0.4754,-0.004,random,transcriptome_FastEvolving
CFH,NC_045545.1,286559,286559,286559,1,0.0862,0.1832,0.137,0.0281,random,transcriptome_FastEvolving
CFH,NC_045545.1,286584,286584,286584,1,0.5028,0.5003,0.4982,-0.0035,random,transcriptome_FastEvolving
CFH,NC_045545.1,286589,286589,286589,1,0.3455,0.3368,0.3388,-0.0043,random,transcriptome_FastEvolving
CFH,NC_045545.1,286592,286592,286592,1,0.3501,0.3144,0.3309,-0.0055,random,transcriptome_FastEvolving
CFH,NC_045545.1,286602,286602,286602,1,0.3997,0.361,0.3792,-0.0049,random,transcriptome_FastEvolving
CFH,NC_045545.1,286607,286607,286607,1,0.3058,0.2566,0.2806,-0.0067,random,transcriptome_FastEvolving
CFH,NC_045545.1,286616,286616,286616,1,0.1814,0.2009,0.19,0.001,random,transcriptome_FastEvolving
CFH,NC_045545.1,286619,286619,286619,1,0.1789,0.1193,0.1493,-0.0126,random,transcriptome_FastEvolving
CFH,NC_045545.1,286622,286622,286622,1,0.1431,0.1625,0.1519,0.0016,random,transcriptome_FastEvolving
CFH,NC_045545.1,286627,286627,286627,1,0.4576,0.4528,0.4521,-0.0038,random,transcriptome_FastEvolving
CFH,NC_045545.1,286630,286630,286630,1,0.502,0.5029,0.5008,-0.0016,random,transcriptome_FastEvolving
CFH,NC_045545.1,286681,286681,286681,1,0.5038,0.4799,0.5017,0.0081,random,transcriptome_FastEvolving
CFH,NC_045545.1,287534,287534,287534,1,0.2119,0.171,0.1908,-0.0086,random,transcriptome_FastEvolving
CFH,NC_045545.1,287587,287587,287587,1,0.4966,0.4771,0.4864,-0.0016,random,transcriptome_FastEvolving
CFH,NC_045545.1,287627,287627,287627,1,0.4121,0.4123,0.4094,-0.0034,random,transcriptome_FastEvolving
CFH,NC_045545.1,287636,287636,287636,1,0.4949,0.4951,0.4916,-0.0034,random,transcriptome_FastEvolving
CFH,NC_045545.1,287638,287638,287638,1,0.441,0.3674,0.4052,-0.0046,random,transcriptome_FastEvolving
CFH,NC_045545.1,287674,287674,287674,1,0.4792,0.5025,0.4958,0.006,random,transcriptome_FastEvolving
CFH,NC_045545.1,287681,287681,287681,1,0.0629,0.0141,0.0388,-0.0238,random,transcriptome_FastEvolving
CFH,NC_045545.1,287689,287689,287689,1,0.4975,0.5034,0.4982,-0.0022,random,transcriptome_FastEvolving
CFH,NC_045545.1,290702,290702,290702,1,0.2732,0.3144,0.2928,0.0023,random,transcriptome_FastEvolving
CFH,NC_045545.1,290712,290712,290712,1,0.4967,0.5029,0.4985,-0.0011,random,transcriptome_FastEvolving
CFH,NC_045545.1,290720,290720,290720,1,0.2865,0.3645,0.3276,0.0107,random,transcriptome_FastEvolving
CFH,NC_045545.1,290762,290762,290762,1,0.1373,0.1607,0.1482,0.0017,random,transcriptome_FastEvolving
CFH,NC_045545.1,290784,290784,290784,1,0.4516,0.4858,0.4699,0.0038,random,transcriptome_FastEvolving
CFH,NC_045545.1,293413,293413,293413,1,0.4494,0.3937,0.4234,0,random,transcriptome_FastEvolving
CFH,NC_045545.1,293461,293461,293461,1,0.4461,0.4175,0.4302,-0.0037,random,transcriptome_FastEvolving
CFH,NC_045545.1,293498,293498,293498,1,0.3225,0.4163,0.3753,0.0153,random,transcriptome_FastEvolving
CFH,NC_045545.1,293511,293511,293511,1,0.488,0.4936,0.4879,-0.0027,random,transcriptome_FastEvolving
CFH,NC_045545.1,294490,294490,294490,1,0.4886,0.4728,0.4785,-0.0032,random,transcriptome_FastEvolving
CFH,NC_045545.1,294497,294497,294497,1,0.378,0.4019,0.3878,-4e-04,random,transcriptome_FastEvolving
CFH,NC_045545.1,294511,294511,294511,1,0.1911,0.1556,0.1726,-0.0076,random,transcriptome_FastEvolving
CFH,NC_045545.1,284319,284319,284319,1,0.2114,0.2345,0.2216,0.0012,random,transcriptome_FastEvolving
CFH,NC_045545.1,294517,294517,294517,1,0.4169,0.43,0.4207,-0.0024,random,transcriptome_FastEvolving
CFH,NC_045545.1,294554,294554,294554,1,0.4944,0.4889,0.4885,-0.0035,random,transcriptome_FastEvolving
CFH,NC_045545.1,294560,294560,294560,1,0.4663,0.4622,0.461,-0.0037,random,transcriptome_FastEvolving
CFH,NC_045545.1,294566,294566,294566,1,0.3046,0.3046,0.3024,-0.0036,random,transcriptome_FastEvolving
CFH,NC_045545.1,294567,294567,294567,1,0.3046,0.2995,0.2999,-0.0043,random,transcriptome_FastEvolving
CFH,NC_045545.1,294572,294572,294572,1,0.477,0.4889,0.4805,-0.0018,random,transcriptome_FastEvolving
CFH,NC_045545.1,294584,294584,294584,1,0.4966,0.4825,0.4879,-0.0025,random,transcriptome_FastEvolving
CFH,NC_045545.1,294596,294596,294596,1,0.1689,0.152,0.1594,-0.0071,random,transcriptome_FastEvolving
CFH,NC_045545.1,294624,294624,294624,1,0.4916,0.4925,0.4885,-0.0035,random,transcriptome_FastEvolving
CFH,NC_045545.1,295736,295736,295736,1,0.4937,0.4892,0.4881,-0.0038,random,transcriptome_FastEvolving
CFH,NC_045545.1,295785,295785,295785,1,0.1765,0.1729,0.1735,-0.004,random,transcriptome_FastEvolving
CFH,NC_045545.1,295801,295801,295801,1,0.2998,0.2852,0.2906,-0.0049,random,transcriptome_FastEvolving
CFH,NC_045545.1,295816,295816,295816,1,0.085,0.171,0.1296,0.0244,random,transcriptome_FastEvolving
CFH,NC_045545.1,295822,295822,295822,1,0.2422,0.1729,0.2081,-0.0071,random,transcriptome_FastEvolving
CFH,NC_045545.1,299729,299729,299729,1,0.2003,0.1644,0.1816,-0.0072,random,transcriptome_FastEvolving
CFH,NC_045545.1,299750,299750,299750,1,0.4169,0.4217,0.4164,-0.0032,random,transcriptome_FastEvolving
CFH,NC_045545.1,299751,299751,299751,1,0.4169,0.4217,0.4164,-0.0032,random,transcriptome_FastEvolving
CFH,NC_045545.1,299756,299756,299756,1,0.1498,0.2935,0.2294,0.0324,random,transcriptome_FastEvolving
CFH,NC_045545.1,299799,299799,299799,1,0.4998,0.5003,0.4966,-0.0034,random,transcriptome_FastEvolving
CFH,NC_045545.1,299825,299825,299825,1,0.085,0.1319,0.1084,0.0092,random,transcriptome_FastEvolving
CFH,NC_045545.1,299850,299850,299850,1,0.1491,0.1892,0.1683,6e-04,random,transcriptome_FastEvolving
CFH,NC_045545.1,300418,300418,300418,1,0.5256,0.5238,0.5214,-0.0032,random,transcriptome_FastEvolving
